Spp,Reg,Latitude,Longitude,MonthMaxALA,MonthCollectionLabel,MonthsActivityALA,Batch,NameinHR
hirs13,ANIC003193,-36.98333,146.1667,12,2,"01,12",original,NA
hirs14,ANIC003197,-35.48333,148.7833,12,12,"01,12",original,NA
hirs15,ANIC002916,-30.4,152.35,12,12,"01,12",HR,hirs1
hirs16,ANIC002917,-34.58333,149.5667,12,12,"01,12",HR,hirs2
lats01,PicXB44110,-18.860353,145.906723,1,1,"01,08",original,NA
lats02,PicXB44113,-17.03,145.46,1,1,"01,08",original,NA
lats03,PicXB44116,-17.912829,145.911707,1,5,"01,08",original,NA
lats04,lats04,-17.03,145.46,1,1,"01,08",HR,lats1
lats05,lats05,-17.81,145.59,1,1,"01,08",HR,lats2
macl01,ANIC003232,-23.96667,133.1667,2,2,"01,02,04,12",original,NA
macl02,ANIC003227,-23.75,133.95,2,2,"01,02,04,12",original,NA
macl03,ANIC003228,-23.75,133.95,2,2,"01,02,04,12",original,NA
macl04,ANIC003229,-23.96667,133.1667,2,2,"01,02,04,12",original,NA
macl05,ANIC003230,-23.75,133.95,2,2,"01,02,04,12",original,NA
macl06,ANIC003250,-23.01667,132.7,2,4,"01,02,04,12",HR,mclm1
macl07,ANIC003251,-23.63332939,133.8666992,2,2,"01,02,04,12",HR,mclm2
mcla01,ANIC003299,-26.36666667,119.8166667,1,1,"01,",original,NA
mcla02,ANIC003303,-22.78333092,117.7833023,1,2,"01,",original,NA
mcla03,ANIC005833,-22.11667,133.4167,1,12,"01,",HR,mcla1
meli01,ANIC002784,-17.05,145.8333,1,1,"01,12",original,NA
meli02,ANIC002785,-17.05,145.8333,1,1,"01,12",original,NA
meli03,ANIC002791,-17.05,145.8333,1,1,"01,12",original,NA
meli04,ANIC002795,-17.05,145.8333,1,1,"01,12",original,NA
meli05,ANIC002796,-18.98332977,146.1499939,1,1,"01,12",original,NA
mima01,PicXB65085,-18.59,146.09,12,1,"01,12",original,NA
mima02,PicXB65088,-18.59,146.09,12,1,"01,12",original,NA
mont01,ANIC005349,-27.93333,152.9333,1,12,"01,02,12",original,NA
