ind,SpeciesName,ANIC,Pic_code,Filter,tr,label,area,mean,min,max,camera_cat,location,patch_ID
ambl03,Amblyterus_circatricosus,NA,4848,LCP,Elytra,R,1.689,78.481,40,149,F04,RoI,ambl03Elyt
ambl03,Amblyterus_circatricosus,NA,4849,RCP,Elytra,R,1.689,74.814,35,137,F04,RoI,ambl03Elyt
anom01,Anomala_antiqua,NA,4397,VIS,Elytra,B,1.92,34.815,20,110,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4398,LCP,Elytra,B,1.92,20.874,7,63,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4400,RCP,Elytra,B,1.92,20.906,9,67,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4397,VIS,Elytra,G,1.92,35.343,20,113,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4398,LCP,Elytra,G,1.92,24.823,11,74,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4400,RCP,Elytra,G,1.92,22.537,11,72,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4397,VIS,Elytra,R,1.92,43.262,20,117,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4398,LCP,Elytra,R,1.92,36.668,19,98,F01,RoI,anom01Elyt
anom01,Anomala_antiqua,NA,4400,RCP,Elytra,R,1.92,28.675,17,71,F01,RoI,anom01Elyt
anom02,Anomala_antiqua,AN25057769,4401,VIS,Elytra,B,1.882,36.8,25,133,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4402,LCP,Elytra,B,1.882,20.844,13,71,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4403,RCP,Elytra,B,1.882,17.932,8,82,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4401,VIS,Elytra,G,1.882,39.032,25,144,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4402,LCP,Elytra,G,1.882,25.93,18,92,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4403,RCP,Elytra,G,1.882,19.508,11,106,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4401,VIS,Elytra,R,1.882,31.245,20,124,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4402,LCP,Elytra,R,1.882,21.048,12,82,F01,RoI,anom02Elyt
anom02,Anomala_antiqua,AN25057769,4403,RCP,Elytra,R,1.882,19.106,9,95,F01,RoI,anom02Elyt
atki01,Calloodes_atkinsoni,NA,3952,VIS,Elytra,B,2.81,48.242,0,151,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3953,LCP,Elytra,B,2.81,2.259,0,95,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3954,RCP,Elytra,B,2.81,49.822,21,100,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3952,VIS,Elytra,G,2.81,125.12,69,218,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3953,LCP,Elytra,G,2.81,156.043,91,229,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3954,RCP,Elytra,G,2.81,53.342,23,104,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3952,VIS,Elytra,R,2.81,76.969,35,176,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3953,LCP,Elytra,R,2.81,71.6,0,179,J25,RoI,atki01Elyt
atki01,Calloodes_atkinsoni,NA,3954,RCP,Elytra,R,2.81,51.107,25,92,J25,RoI,atki01Elyt
atki02,Calloodes_atkinsoni,NA,3969,VIS,Elytra,B,1.855,38.91,0,113,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3970,LCP,Elytra,B,1.855,0.102,0,69,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3971,RCP,Elytra,B,1.855,44.895,17,89,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3969,VIS,Elytra,G,1.855,126.459,61,202,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3970,LCP,Elytra,G,1.855,158.164,68,222,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3971,RCP,Elytra,G,1.855,48.133,20,105,J25,RoI,atki02Elyt
atki02,Calloodes_atkinsoni,NA,3969,VIS,Elytra,R,1.855,68.805,36,129,J25,RoI,atki02Elyt
