species,reg,lat,lon,avg_temp_over_35,avg_max_temp,avg_min_temp,avg_sol,avg_year_sol,avg_year_vpr,cloud_cover,avg_rr,avg_vpr,avg_temp_over_35_Coll,avg_max_temp_Coll,avg_min_temp_Coll,avg_sol_Coll,avg_rr_Coll,avg_vpr_Coll
brun03,ANIC000612,-32.96666667,150.6666667,13.7,23.74803886,10.4429912,15.96289956,16.07792496,13.50783548,21.36862033,1.800219941,13.5055659,6.7,23.91233138,10.73440616,15.83611437,1.65329912,13.79991826
brun04,ANIC000613,-33.38333333,150.9833333,10.1,23.88563783,11.82246701,15.72436217,15.85836424,14.46710291,21.03380316,2.320564516,14.45732159,5.1,23.7563783,11.55631232,15.92788856,2.216348974,14.17703346
brun05,ANIC000616,-32.96666667,150.6666667,13.7,23.74803886,10.4429912,15.96289956,16.07792496,13.50783548,21.36862033,1.800219941,13.5055659,6.7,23.91233138,10.73440616,15.83611437,1.65329912,13.79991826
brun06,ANIC000617,-32.96666667,150.6666667,13.7,23.74803886,10.4429912,15.96289956,16.07792496,13.50783548,21.36862033,1.800219941,13.5055659,6.7,23.91233138,10.73440616,15.83611437,1.65329912,13.79991826
brun07,ANIC000639,-33.25,150.6667,11.7,22.45955279,10.02075513,15.62246823,15.82285839,13.04778029,22.30663451,2.291397849,12.91818331,3.9,22.21260606,10.33465152,15.10162626,2.730505051,13.16230101
brun08,ANIC000640,-31.4,152.1167,1.7,21.36102273,9.619109238,16.20274927,16.23480027,13.27092326,24.54950583,3.08643695,13.25749872,0.9,21.15196141,9.574067524,16.3472508,2.585289389,13.12069051
brun09,ANIC000641,-28.76667,151.85,4.8,22.27853861,9.254376833,18.34217253,18.4423262,12.63158769,19.37112468,1.986803519,12.73573397,3.4,22.42545455,9.24315738,18.49478495,1.914125122,12.59869453
brun10,ANIC000644,-28.76667,151.85,4.8,22.27853861,9.254376833,18.34217253,18.4423262,12.63158769,19.37112468,1.986803519,12.73573397,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
brun11,ANIC000645,-28.76667,151.85,4.8,22.27853861,9.254376833,18.34217253,18.4423262,12.63158769,19.37112468,1.986803519,12.73573397,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
brun12,ANIC000650,-31.45,152.7333333,1.5,23.6443585,12.53267595,16.7195088,16.77196055,16.17926537,21.01958798,3.072653959,16.18024541,0.8,23.83217742,12.51532258,16.95638563,2.649926686,16.31382515
clor01,ANIC000913,-30.6,151.55,3,20.48802532,7.29345616,17.84074074,17.98647461,11.26862615,18.6339646,1.890306122,11.36751409,1.4,20.78181085,7.39106305,18.41784457,1.315615836,11.31216202
clor02,ANIC000915,-30.6,151.55,3,20.48802532,7.29345616,17.84074074,17.98647461,11.26862615,18.6339646,1.890306122,11.36751409,1.4,20.78181085,7.39106305,18.41784457,1.315615836,11.31216202
clor03,ANIC000919,-30.51667023,151.6667023,2.7,20.6132842,7.673594104,17.84636999,17.96731458,11.49413863,18.71734634,1.88590325,11.59555361,1.2,20.94796921,7.781048387,18.31721408,1.393695015,11.54729399
clor04,ANIC000859,-35.4,149.1,16.3,20.7073419,6.820967498,17.04865205,16.76894475,10.5294125,15.3140138,1.358629378,10.32203568,2.7,20.53528837,6.799677419,16.98880743,1.238025415,10.37455098
clor06,ANIC000868,-28.76667,151.85,6.6,22.16851096,9.151140086,18.4543487,18.4423262,12.63158769,19.37112468,1.890929705,12.6349207,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
clor07,ANIC000869,-28.76667,151.85,6.6,22.16851096,9.151140086,18.4543487,18.4423262,12.63158769,19.37112468,1.890929705,12.6349207,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
clor08,ANIC000870,-28.76667,151.85,6.6,22.16851096,9.151140086,18.4543487,18.4423262,12.63158769,19.37112468,1.890929705,12.6349207,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
clor09,ANIC000871,-28.76667,151.85,6.6,22.16851096,9.151140086,18.4543487,18.4423262,12.63158769,19.37112468,1.890929705,12.6349207,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
clor10,ANIC000874,-28.76667,151.85,6.6,22.16851096,9.151140086,18.4543487,18.4423262,12.63158769,19.37112468,1.890929705,12.6349207,0.8,21.92123232,9.20380303,18.09390404,2.421161616,12.87924293
clor11,ANIC000963,-37.95,147.1167,20.4,20.96669564,8.74718191,15.20355127,15.01661191,12.33011549,17.6493003,1.53159486,12.20561731,5.3,20.79029814,8.855498534,14.88663734,1.383088954,12.13111657
clor12,ANIC000964,-37.95,147.1167,20.4,20.96669564,8.74718191,15.20355127,15.01661191,12.33011549,17.6493003,1.53159486,12.20561731,5.3,20.79029814,8.855498534,14.88663734,1.383088954,12.13111657
clor13,ANIC000965,-37.95,147.1167,20.4,20.96669564,8.74718191,15.20355127,15.01661191,12.33011549,17.6493003,1.53159486,12.20561731,5.3,20.79029814,8.855498534,14.88663734,1.383088954,12.13111657
clor14,ANIC002571,-28.76667,151.85,6.6,22.16851096,9.151140086,18.4543487,18.4423262,12.63158769,19.37112468,1.890929705,12.6349207,1.4,22.13162268,9.265596285,18.18956012,2.059481916,12.87317647
clor15,ANIC002572,-28.55,151.8333,5.8,22.1492328,9.701097884,18.45325208,18.61613676,12.34211632,18.3457983,2.079138322,12.51922334,0.5,22.00783724,9.964244868,18.12179619,2.582331378,12.67599265
clor16,ANIC002575,-28.55,151.8333,5.8,22.1492328,9.701097884,18.45325208,18.61613676,12.34211632,18.3457983,2.079138322,12.51922334,0.5,22.00783724,9.964244868,18.12179619,2.582331378,12.67599265
