Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus macleayi,macl02,ANIC003227,-23.75,133.95,ThisManuscript,NA
Anoplognathus macleayi,macl03,ANIC003228,-23.75,133.95,ThisManuscript,NA
Anoplognathus macleayi,macl04,ANIC003229,-23.96667,133.1667,ThisManuscript,NA
Anoplognathus macleayi,macl05,ANIC003230,-23.75,133.95,ThisManuscript,NA
Anoplognathus macleayi,macl06,ANIC003250,-23.01667,132.7,PrettyCoolBeetles,mclm1
Anoplognathus macleayi,macl07,ANIC003251,-23.63332939,133.8666992,PrettyCoolBeetles,mclm2
Anoplognathus macleayi,mcla01,ANIC003299,-26.36666667,119.8166667,ThisManuscript,NA
Anoplognathus macleayi,mcla02,ANIC003303,-22.78333092,117.7833023,ThisManuscript,NA
Anoplognathus macleayi,mcla03,ANIC005833,-22.11667,133.4167,PrettyCoolBeetles,mcla1
Anoplognathus daemeli,meli01,ANIC002784,-17.05,145.8333,ThisManuscript,NA
Anoplognathus daemeli,meli02,ANIC002785,-17.05,145.8333,ThisManuscript,NA
Anoplognathus daemeli,meli03,ANIC002791,-17.05,145.8333,ThisManuscript,NA
Anoplognathus daemeli,meli04,ANIC002795,-17.05,145.8333,ThisManuscript,NA
Anoplognathus daemeli,meli05,ANIC002796,-18.98332977,146.1499939,ThisManuscript,NA
Mimadoretus niveosquamosus,mima01,NA,-18.59,146.09,ThisManuscript,NA
Mimadoretus niveosquamosus,mima02,NA,-18.59,146.09,ThisManuscript,NA
Anoplognathus montanus,mont01,ANIC005349,-27.93333,152.9333,ThisManuscript,NA
Anoplognathus montanus,mont02,ANIC005261,-35.58333,147.3667,ThisManuscript,NA
Anoplognathus montanus,mont03,ANIC005307,-34.6,148.5667,ThisManuscript,NA
Anoplognathus montanus,mont04,ANIC005279,-34.55,148.3,ThisManuscript,NA
Anoplognathus montanus,mont05,ANIC005389,-34.56667,138.85,ThisManuscript,NA
Anoplognathus montanus,mont06,ANIC005266,-36.38334,146.2833,ThisManuscript,NA
Anoplognathus multiseriatus,mult01,ANIC005406,-26.03333,153.05,ThisManuscript,NA
Anoplognathus multiseriatus,mult02,ANIC005409,-26.65,153.1,ThisManuscript,NA
Anoplognathus multiseriatus,mult03,ANIC005407,-26.03333,153.05,ThisManuscript,NA
Anoplognathus narmarus,narm01,ANIC005476,-31.13333,138.5667,ThisManuscript,NA
Anoplognathus narmarus,narm02,ANIC005478,-31.33333333,138.6166667,ThisManuscript,NA
Anoplognathus narmarus,narm03,ANIC005479,-31.33333333,138.6,ThisManuscript,NA
Anoplognathus narmarus,narm04,ANIC005462,-32.4177,137.978,PrettyCoolBeetles,narm1
Anoplognathus narmarus,narm05,ANIC005463,-32.4177,137.978,PrettyCoolBeetles,narm2
Anoplognathus nebulosus     ,neba01,ANIC005623,-15.95,136.3667,ThisManuscript,NA
