Ind,phylogeny_name
poro15,Anoplognathus_porosus
poro16,Anoplognathus_porosus
poro17,Anoplognathus_porosus
prsi01,Anoplognathus_prasinus
prsi02,Anoplognathus_prasinus
prsi03,Anoplognathus_prasinus
prsi04,Anoplognathus_prasinus
prsi05,Anoplognathus_prasinus
prsi06,Anoplognathus_prasinus
psqz01,NA_NA
psqz02,NA_NA
psqz03,NA_NA
punc01,Anoplognathus_punctulatus
punc02,Anoplognathus_punctulatus
pvul01,Anoplognathus_parvulus
pvul02,Anoplognathus_parvulus
pvul03,Anoplognathus_parvulus
pvul04,Anoplognathus_parvulus
pvul05,Anoplognathus_parvulus
pvul06,Anoplognathus_parvulus
rayn01,Calloodes_rayneri
rayn02,Calloodes_rayneri
rayn03,Calloodes_rayneri
rayn04,Calloodes_rayneri
rayn05,Calloodes_rayneri
repa01,Repsimus_aeneus
repa02,Repsimus_aeneus
repa03,Repsimus_aeneus
reps01,Repsimus_manicatus
reps02,Repsimus_manicatus
reps03,Repsimus_manicatus
rept01,Repsimus_manicatus
rept02,Repsimus_manicatus
rept03,Repsimus_manicatus
rina01,Anoplognathus_rhinastus
rina02,Anoplognathus_rhinastus
rina03,Anoplognathus_rhinastus
rina04,Anoplognathus_rhinastus
roci01,Anoplognathus_rothschildti
roci02,Anoplognathus_rothschildti
roci03,Anoplognathus_rothschildti
roci04,Anoplognathus_rothschildti
rose01,Anoplostethus_roseus
rose02,Anoplostethus_roseus
rose03,Anoplostethus_roseus
rose04,Anoplostethus_roseus
rubi01,Anoplognathus_suturalis
rubi02,Anoplognathus_suturalis
rubi03,Anoplognathus_suturalis
rubi04,Anoplognathus_suturalis
rubi05,Anoplognathus_suturalis
rubi06,Anoplognathus_suturalis
rugo01,Anoplognathus_rugosus
rugo02,Anoplognathus_rugosus
rugo03,Anoplognathus_rugosus
saul01,NA_NA
saul02,NA_NA
smgg01,Anoplognathus_smaragdinus
smgg02,Anoplognathus_smaragdinus
smgg03,Anoplognathus_smaragdinus
smgg04,Anoplognathus_smaragdinus
smgp01,Anoplognathus_smaragdinus
smgr01,Anoplognathus_smaragdinus
sqzb01,NA_NA
sqzb02,NA_NA
sqzc01,NA_NA
sqzc02,NA_NA
sqzc03,NA_NA
sqzm01,NA_NA
sqzm02,NA_NA
tars01,Anoplognathus_viriditarsis
tars02,Anoplognathus_viriditarsis
tars03,Anoplognathus_viriditarsis
tars04,Anoplognathus_viriditarsis
tars05,Anoplognathus_viriditarsis
tars06,Anoplognathus_viriditarsis
velu01,Anoplognathus_velutinus
velu02,Anoplognathus_velutinus
velu03,Anoplognathus_velutinus
velu04,Anoplognathus_velutinus
velu05,Anoplognathus_velutinus
vrdi02,Anoplognathus_viridiaeneus
vrdi03,Anoplognathus_viridiaeneus
xyle01,Xylonichus_sp
xyle02,Xylonichus_sp
xyle04,Xylonichus_sp
xyle05,Xylonichus_sp
xyle06,Xylonichus_sp
xyle07,Xylonichus_sp
xyle08,Xylonichus_sp
xyle09,Xylonichus_sp
xyls01,Xylonichus_sp
xyls02,Xylonichus_sp
xyls03,Xylonichus_sp
