species,patch_ID,ID,R,G,B,type,camera_cat,col_percent,location
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,86.989,52.264,86.448,NIR,small,0.677267876,RoI
Acmaeodera_tuta,Acmaeodera_tuta_3,Acmaeodera_tuta_3,88.057,54.629,89.81,NIR,small,0.73853211,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_1,Acmaeodera_tuta_1,125.003,76.476,118.231,NIR,small,0.337398374,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_2,Acmaeodera_tuta_2,137.706,85.192,130.218,NIR,small,0.322732124,RoI
Acmaeodera_tuta,Acmaeodera_tuta_yellow_3,Acmaeodera_tuta_3,115.137,69.693,109.016,NIR,small,0.26146789,RoI
Acmaeodera_tuta,Acmaeodera_tuta_1,Acmaeodera_tuta_1,37.954,0,189.681,UV,small,0.662601626,grey
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,18.573,0,168.797,UV,small,0.677267876,grey
Acmaeodera_tuta,Acmaeodera_tuta_3,Acmaeodera_tuta_3,21.614,0,169.5,UV,small,0.73853211,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_1,Acmaeodera_tuta_1,37.954,0,189.681,UV,small,0.337398374,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_2,Acmaeodera_tuta_2,18.573,0,168.797,UV,small,0.322732124,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_3,Acmaeodera_tuta_3,21.614,0,169.5,UV,small,0.26146789,grey
Acmaeodera_tuta,Acmaeodera_tuta_1,Acmaeodera_tuta_1,107.614,125.436,122.658,VIS,small,0.662601626,grey
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,111.76,130.046,127.006,VIS,small,0.677267876,grey
Acmaeodera_tuta,Acmaeodera_tuta_3,Acmaeodera_tuta_3,97.754,114.524,113.272,VIS,small,0.73853211,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_1,Acmaeodera_tuta_1,107.614,125.436,122.658,VIS,small,0.337398374,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_2,Acmaeodera_tuta_2,111.76,130.046,127.006,VIS,small,0.322732124,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_3,Acmaeodera_tuta_3,97.754,114.524,113.272,VIS,small,0.26146789,grey
Acmaeodera_tuta,Acmaeodera_tuta_1,Acmaeodera_tuta_1,134.708,80.731,123.964,NIR,small,0.662601626,grey
Acmaeodera_tuta,Acmaeodera_tuta_2,Acmaeodera_tuta_2,134.699,80.652,123.912,NIR,small,0.677267876,grey
Acmaeodera_tuta,Acmaeodera_tuta_3,Acmaeodera_tuta_3,142.816,85.904,131.391,NIR,small,0.73853211,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_1,Acmaeodera_tuta_1,134.708,80.731,123.964,NIR,small,0.337398374,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_2,Acmaeodera_tuta_2,134.699,80.652,123.912,NIR,small,0.322732124,grey
Acmaeodera_tuta,Acmaeodera_tuta_yellow_3,Acmaeodera_tuta_3,142.816,85.904,131.391,NIR,small,0.26146789,grey
Actenodes_calcaratus,Actenodes_calcaratus_1,Actenodes_calcaratus_1,0.112,0.105,47.758,UV,medium,1,RoI
