"","estimateP1","ts1","ps1","estimateP2","tP2","pP2","estimateP3","tP3","pP3","estimateP4","tP4","pP4","estimateP5","tP5","pP5"
"228",-0.0116529184744951,-0.00961927374962659,0.992378158454286,2.51207433898557,1.63903419388477,0.109917628512905,-0.252402639868721,-0.23944788430821,0.812116383278783,0.10698559293733,0.2059071211208,0.838023489188499,-1.05797971845219,-1.72838315408946,0.0924891694349916
"229",-0.0116529298068243,-0.00961928315287631,0.992378151003847,2.51207455330572,1.63903437261401,0.109917591112134,-0.252402770677827,-0.239448008283551,0.812116287895128,0.106985589134484,0.205907114796601,0.838023494091627,-1.05797980922538,-1.72838333608026,0.092489136436813
"230",-0.0116528602249517,-0.00961922549804299,0.992378196685266,2.51207448975858,1.63903430058826,0.109917606184196,-0.252402562016024,-0.239447803957061,0.812116445099033,0.106985555407514,0.205907045697111,0.838023547664216,-1.05797977846227,-1.72838325796652,0.0924891506002261
"231",-0.0116529642281948,-0.0096193115022481,0.992378128541905,2.51207451007083,1.63903429023602,0.1099176083505,-0.252402612555985,-0.239447859870728,0.812116402080396,0.106985606140474,0.205907145907486,0.838023469971469,-1.05797977524088,-1.72838322475475,0.0924891566221124
"232",-0.0116529957820706,-0.00961933752019022,0.992378107927215,2.51207437011958,1.6390342210746,0.109917622823178,-0.252402565405366,-0.239447809628027,0.812116440735926,0.106985614792842,0.205907162239385,0.838023457309406,-1.05797972085084,-1.72838316000003,0.0924891683632989
"233",-0.0116530181328811,-0.00961935596226796,0.992378093315079,2.51207431038853,1.63903419950381,0.109917627337068,-0.252402683485838,-0.239447922770114,0.812116353687116,0.106985637929012,0.205907206508986,0.838023422987342,-1.05797969779412,-1.72838313856694,0.0924891722495023
"234",-0.0116530787000703,-0.0096194060837149,0.992378053602557,2.51207408456543,1.63903403641725,0.109917661464472,-0.252402534720817,-0.239447787167608,0.812116458016435,0.106985661230289,0.205907253590334,0.838023386485341,-1.05797960086727,-1.72838296521825,0.0924892036807221
"235",-0.0116528819369188,-0.00961924357622915,0.992378182361451,2.51207444575657,1.63903426650515,0.109917613316409,-0.252402680945319,-0.239447925625331,0.81211635149038,0.106985577796605,0.205907091905004,0.838023511839401,-1.05797976056375,-1.72838322275206,0.0924891569852364
"236",-0.0116531027692713,-0.00961942573627555,0.992378038031324,2.51207457285909,1.63903433509289,0.10991759896378,-0.252402603186781,-0.239447842647626,0.812116415331438,0.106985663342591,0.205907253742063,0.838023386367706,-1.05797980031941,-1.72838326593552,0.0924891491553033
"237",-0.0116528828575737,-0.00961924424677448,0.99237818183016,2.51207442163897,1.63903426713394,0.109917613184829,-0.252402750935745,-0.23944799413804,0.812116298778345,0.106985600964858,0.205907135458662,0.838023478072405,-1.05797974628023,-1.7283832220672,0.0924891571094122
"238",-0.0116530735824097,-0.0096194017205531,0.992378057059604,2.51207431543822,1.63903422282669,0.109917622456536,-0.252402576710519,-0.239447820043025,0.812116432722877,0.106985655588802,0.205907240498193,0.838023396635631,-1.0579797044203,-1.72838317032861,0.092489166490543
"239",-0.011652916317934,-0.00961927176115535,0.992378160029803,2.51207452394158,1.63903429649519,0.109917607040711,-0.252402626412606,-0.239447858735951,0.812116402953467,0.106985593997611,0.205907118267984,0.838023491400277,-1.05797977962682,-1.72838322338136,0.0924891568711323
"240",-0.0116529507253786,-0.00961930049938398,0.99237813725976,2.51207485173687,1.63903455482852,0.109917552982047,-0.252402778395278,-0.239448026594063,0.812116273807459,0.106985604278957,0.205907145808544,0.838023470048178,-1.05797990802619,-1.72838349406229,0.0924891077918604
"241",-0.0116530452582049,-0.00961937842296432,0.992378075518887,2.51207433085065,1.63903422924611,0.109917621113212,-0.252402662764688,-0.239447908346927,0.81211636478397,0.106985641392317,0.205907214788475,0.838023416568284,-1.05797971265635,-1.72838317601965,0.0924891654586566
"242",-0.0116528898714663,-0.00961925006649594,0.992378177219044,2.51207442255563,1.63903428319744,0.109917609823389,-0.252402709075491,-0.239447953521197,0.812116330027969,0.106985574858432,0.205907085209715,0.838023517030235,-1.05797975166964,-1.7283832428371,0.0924891533434593
"243",-0.0116529364223616,-0.00961928838269155,0.992378146860129,2.51207475995061,1.63903446067275,0.109917572685018,-0.252402821130779,-0.239448040916986,0.812116262787746,0.10698558484612,0.205907101106102,0.838023504705823,-1.05797987243322,-1.72838339043499,0.0924891265813319
"244",-0.0116529508245119,-0.00961930049021084,0.992378137267028,2.51207449423186,1.63903430751732,0.109917604734226,-0.252402663829946,-0.239447901395774,0.812116370132021,0.106985599038859,0.205907134175599,0.838023479067159,-1.05797976568706,-1.72838323849905,0.0924891541300257
"245",-0.0116530021334004,-0.00961934293274577,0.992378103638707,2.51207444188284,1.639034289168,0.109917608573994,-0.252402727767746,-0.239447977997046,0.812116311196838,0.106985612990716,0.205907163302398,0.838023456485255,-1.05797974763425,-1.72838323292672,0.0924891551403879
"246",-0.0116529588363027,-0.00961930707199569,0.992378132052109,2.51207451682713,1.63903438080567,0.109917589397952,-0.252402615170363,-0.239447860673316,0.812116401462904,0.106985607571439,0.205907149467071,0.838023467211735,-1.05797977858163,-1.72838332132229,0.0924891391126959
"247",-0.0116530262053041,-0.00961936271409449,0.992378087965432,2.51207444445921,1.63903430457824,0.109917605349256,-0.25240259573868,-0.239447842613735,0.812116415357513,0.10698563785625,0.205907207764973,0.83802342201358,-1.05797975586298,-1.7283832532326,0.0924891514585691
"248",-0.0116529119722228,-0.00961926826495122,0.992378162799936,2.5120743875119,1.63903422633323,0.109917621722761,-0.252402736537696,-0.239447966095689,0.812116320353457,0.10698557456586,0.205907083044935,0.838023518708581,-1.05797973031173,-1.72838317047357,0.0924891664642595
"249",-0.0116529089585897,-0.00961926584358686,0.992378164718446,2.51207455015178,1.6390343400823,0.109917597919698,-0.25240267051253,-0.239447916401241,0.812116358587174,0.106985584755496,0.205907104441481,0.838023502119915,-1.05797979712214,-1.72838329149884,0.0924891445202178
"250",-0.0116530050452524,-0.00961934528794145,0.992378101772625,2.51207454306577,1.63903435952369,0.109917593851406,-0.252402689545901,-0.239447931020289,0.812116347339629,0.106985629614223,0.205907193023512,0.838023433442582,-1.05797978370454,-1.72838329635242,0.092489143640178
