"","estimateP1","ts1","pP1","estimateP2","tP2","pP2","estimateP3","tP3","pP3","estimateP4","tP4","pP4","estimateP5","tP5","pP5","estimateP6","tP6","pP6"
"856",-1.75643754887752,-0.408774265585215,0.687275994734855,-15.9479393754069,-2.89576801759395,0.00926442484103052,8.10096717659928,1.6348934732674,0.118530923850613,1.31873538483209,11.0679103644043,0.00000000100234798239285,0.889815498202651,0.460187411675519,0.65060461685205,5.75242267031196,2.61872136865038,0.0168958530866683
"857",-1.21243564023058,-0.255307925946769,0.80122858322709,-10.7959628941341,-1.89307481820591,0.0736816025291693,7.99972506742738,1.74276841166148,0.0975365208697592,1.34955173365978,10.3424997953898,0.00000000305111536036407,0.48492999061539,0.225031220957107,0.824357539323533,3.87390144578049,1.7030983053381,0.104852540891917
"858",-0.792397183047623,-0.176997421203172,0.86138357521702,-12.3029109366164,-2.24972281801002,0.0365139086342552,8.86024483804606,2.00488020713854,0.0594356907917928,1.34290392455797,10.0890888888376,0.00000000456145166083388,0.242660748546765,0.118108020564152,0.907221763486638,4.41712797445297,2.03248173407557,0.0563218165366035
"859",-1.29099366858522,-0.286169445942222,0.77784522955027,-11.2475063343208,-2.02760256180131,0.0568613669680795,8.63960306073157,1.90950714090721,0.0714142137488021,1.34015064954124,9.90174742681791,0.00000000616891093763172,0.40311789415575,0.192155772766831,0.849659035717439,4.05431634665738,1.84438410491293,0.0807772642493354
"860",-1.97134245138085,-0.462808610826354,0.648758254994571,-12.5689271440072,-2.26265409923029,0.0355655395908494,8.55406109076667,1.78616660150226,0.0900417902720929,1.34542391470421,10.436807161815,0.00000000263173660641769,0.805000828972556,0.41798339269096,0.68064527721786,4.57096417465284,2.08532788557974,0.0507663863884229
"861",-0.983976403351633,-0.230236508247754,0.820368719067981,-12.0475742428874,-2.13912136519423,0.0456250077456786,8.42629423323054,1.82924669597641,0.0831021910765322,1.2975639041094,9.88895312652885,0.00000000629832386245255,0.428094776396037,0.21784028009189,0.829876020530486,4.3293794886368,1.95603427305077,0.0653259146887444
"862",-1.65867807584166,-0.343241355456954,0.735185631490906,-11.5575238461794,-1.95787834879526,0.0650944177038446,8.5661667062855,1.81153674847112,0.085896360142182,1.34262339269426,9.96631164570188,0.00000000555688361991713,0.625952597068974,0.286003825423467,0.77797016183246,4.16427256174205,1.76675248308865,0.0933304510670454
"863",-1.364636335169,-0.303012426333593,0.765173063497429,-12.4776072403782,-2.25532651180312,0.0361001169321713,8.04600117377962,1.8308287880895,0.0828564895855002,1.35620489492745,10.8203182523813,0.0000000014566077233269,0.613130382620477,0.295831434844682,0.770567764528527,4.52485449714494,2.06711942156918,0.0526220505709309
"864",-1.26067984578398,-0.279235027915044,0.783081328795219,-11.605246347724,-2.02807614255612,0.0568087945224534,8.26645800756463,1.80321059907752,0.0872381114038436,1.35823422324572,10.8554061379773,0.00000000138093314561161,0.531526124356192,0.259264217964762,0.798219655166598,4.2101779061946,1.85044596834404,0.0798623442783701
"865",-1.54666626239916,-0.366792185969852,0.71782715290891,-13.021049396506,-2.42735817116404,0.0253196167305991,9.7498916733997,2.14897073799946,0.0447365800607589,1.32675736098897,10.9517875166946,0.00000000119346932336839,0.692582688101265,0.359644804007654,0.723079134162013,4.78693824277907,2.25333872320253,0.0362464041520969
"866",-1.63506790977965,-0.355551259339249,0.726093500321517,-12.4012072315049,-2.14572567563347,0.0450275344269393,8.99706362273056,1.9508267232838,0.065983609782575,1.33407410910838,10.2304518201265,0.00000000364167229705004,0.655351547191055,0.314320015209861,0.756703266193823,4.49718135732446,1.96038094327643,0.0647814219625111
"867",-1.49221370197688,-0.331207411891501,0.744112880019352,-12.6341237246589,-2.24910431437871,0.0365598469812203,8.02824198477119,1.74914602907924,0.0964023985193028,1.31361289781078,9.31615087597527,0.0000000162675464210338,0.639774890660794,0.314017788566739,0.756929240207114,4.53661745869013,2.02810403655908,0.056805699356961
"868",-1.90745835140245,-0.440583044537802,0.664486723708051,-12.2903323994958,-2.13393372834068,0.0460993664296603,9.41488703031408,1.91759860051076,0.0703205799223439,1.34296958201266,10.6898993231578,0.00000000177807590873158,0.759156328159445,0.387078219195278,0.702999800175175,4.5023986779979,1.98053619210963,0.0623091512095588
"869",-1.36138928211697,-0.29890634970782,0.768256255820992,-12.7501524929862,-2.28212391123737,0.0341803685238196,8.16979031548403,1.79500479305648,0.0885783042795896,1.32368147571143,10.2651866984544,0.00000000344679906838508,0.637218952325579,0.303924347081761,0.764488858950071,4.60702239710396,2.07228576343654,0.0520894095985378
"870",-0.414828685624826,-0.106728127171512,0.916123532300182,-12.325601639193,-2.3104631165317,0.0322529806685172,7.32984806755402,1.73318145716729,0.0992630147283442,1.30863481423653,10.565348690717,0.00000000215468753950177,0.166836522915325,0.0965427277352383,0.924100611605207,4.35363420697499,2.09558249526252,0.0497475584600611
"871",-1.26392916069734,-0.266696138330199,0.792576148013068,-12.2796426285137,-2.18711996982294,0.0414422713891542,8.30880246502692,1.87583103513182,0.0761290828109069,1.31016119154471,9.60643703278456,0.0000000100091863686202,0.575387127615123,0.266106182790682,0.793023712730815,4.42340402705268,1.97473171345373,0.0630123558007398
"872",-1.56146180580314,-0.372139576215317,0.713907212341442,-12.8737547158485,-2.38067770866354,0.0279027105308385,8.86957763445309,1.8881926983968,0.074367395532335,1.34244841843237,11.7355474042477,0.000000000377136544216228,0.617405141697102,0.323445521682697,0.749890824208365,4.66869713767245,2.18864564465531,0.0413152547841944
"873",-1.4597675583782,-0.316309080054391,0.755216609666518,-10.5609740758793,-1.81790928721287,0.0848816305627613,8.62033630793047,1.82699902156733,0.0834523546471493,1.36176805299846,10.2809197157662,0.00000000336214389662359,0.514624707769064,0.244985785627167,0.809093911994893,3.82427005812775,1.65333113548932,0.114691542521583
"874",-1.01726866926431,-0.227451856697891,0.822501985145102,-12.5241109523292,-2.30252761399306,0.0327823036276327,8.46198345584732,1.92152652454839,0.0697950545364758,1.33383714339518,10.4357643060924,0.00000000263602961680931,0.397370260198773,0.192697375265631,0.849240768844103,4.51371455995123,2.09942875493306,0.0493702189306515
