"","ind","Species","PC1","PC2","phylogeny_name","size","R_ALL","R_VIS","R_NIR","T_ALL","T_VIS","T_NIR","A_ALL","A_VIS","A_NIR"
"1","anom02","anom02",-0.38550339251646,-1.15167810795663,"Anomala_antigua",1.7675,19.9313227670833,7.88818847012163,30.4090978319106,9.51224614346563,2.7395751650922,15.4134394449867,70.5564310894511,89.3722363647862,54.1774627231028
"2","anom03","anom03",-2.30177206702193,-2.27639269855667,"Anomala_antigua",1.7675,14.521099039854,3.5286143425441,24.0774229744343,33.6112401311497,8.84685233342415,55.1852154734014,51.8676608289963,87.6245333240317,20.7373615521643
"3","atki03","atki03",-2.43104976918833,0.610500441941209,"Calloodes_atkinsonii",2.2385,13.6795945834456,6.2240321422414,20.1539908920954,20.2630984103737,3.87125184760035,34.5325036926004,66.0573070061807,89.9047160101583,45.3135054153041
"4","atki04","atki04",-2.28579572230662,-0.887079759162274,"Calloodes_atkinsonii",2.2385,17.1681007375652,8.27748348836381,24.8905666431757,6.40184422748665,0.405958406217142,11.6162815415436,76.4300550349481,91.316558105419,63.4931518152807
"5","aurs03","aurs03",-2.75072934913335,-0.390180315677912,"Anoplognathus_aureus",1.714,48.1689459687773,33.6732142975422,60.8271115178143,21.6651780207348,10.2313242764739,31.6281116075864,30.165876010488,56.0954614259839,7.54477687459925
"6","aurs04","aurs04",-2.75072934913335,-0.390180315677912,"Anoplognathus_aureus",1.714,46.3142080719374,34.1973048435968,56.8994997569087,21.5222420189533,10.0386596311133,31.5297654450041,32.1635499091093,55.7640355252899,11.5707347980871
"7","clor17","clor17",1.24940527776458,0.627431101129911,"Anoplognathus_brunnipennis",2.330666667,27.5167534464762,16.9225168526013,36.7494699247696,27.7949439934713,14.1876161280623,39.6614989076403,44.6883025600525,68.8898670193364,23.58903116759
"8","conc05","conc05",-1.41249337171093,0.923786652469828,"Anoplognathus_concolor",2.175,24.4054392132016,9.15971062388013,37.6945926662223,35.1351583769236,24.4643339226804,44.4522013356203,40.4594024098748,66.3759554534395,17.8532059981574
"9","conc06","conc06",0.242123982837677,1.40584891852874,"Anoplognathus_concolor",2.175,33.8394251270566,15.5576123190193,49.7901905928395,30.0965268315517,20.1109413296312,38.8068714682956,36.0640480413917,64.3314463513495,11.4029379388649
"10","ecry04","ecry04",0.866417478430374,1.46386448097411,"Epichrysus_lamprimoides",2.204,23.9026280260565,16.4358122427304,30.3813526676559,24.3366133368728,7.73781360310532,38.7996603763329,51.7607586370707,75.8263741541643,30.8189869560112
