"","ind","Species","PC1","PC2","phylogeny_name","size","R_ALL","R_VIS","R_NIR","T_ALL","T_VIS","T_NIR","A_ALL","A_VIS","A_NIR"
"28","pczo05","pczo05",0.236992616342612,0.769679162775192,"Paraschizognathus_ocularis",1.954,30.1823146160499,9.75556240961089,47.9958212224239,25.9229044909822,16.474004027543,34.1693659780765,43.8947808929679,73.7704335628461,17.8348127994997
"29","pczp05","pczp05",0.643096389376151,1.68122646780754,"Paraschizognathus_prasinus",1.905,32.162633383092,12.1633152582046,49.5970354279474,15.0735493966356,5.89934588643999,23.0674176752579,52.7638172202724,81.9373388553554,27.3355468967947
"30","pczp06","pczp06",0.685764517897777,1.92008985561386,"Paraschizognathus_prasinus",1.905,23.8264378966069,5.66152013500806,39.6520335024696,19.2222269588688,9.17043185925738,27.990014594807,56.9513351445242,85.1680480057345,32.3579519027234
"31","pczv04","pczv04",-0.363668955565787,1.41850368113996,"Paraschizognathus_olivaceous",1.973333333,24.8663489766238,11.1776480252493,36.8053138577308,32.968818432178,21.4295607121405,43.0430869024885,42.1648325911982,67.3927912626103,20.1515992397807
"32","pczv05","pczv05",-0.647010392807266,0.958817911467625,"Paraschizognathus_olivaceous",1.973333333,32.5745173411188,12.5798385003879,50.017088284607,14.1107342495008,5.74901433669842,21.3976115794603,53.3147484093804,81.6711471629137,28.5853001359328
"33","poro16","poro16",-2.86810576249914,-0.442037236363915,"Anoplognathus_porosus",2.426538462,23.1921113237102,11.010613813019,33.8130242166933,20.4180874261771,12.4537957198232,27.3641366475603,56.3898012501128,76.5355904671578,38.8228391357465
"34","poro17","poro17",-0.601579066313551,-1.71608429142815,"Anoplognathus_porosus",2.426538462,37.6359048730581,17.1641988810523,55.4913157189467,4.5968923180968,1.99545267491968,6.86366008919298,57.7672028088451,80.8403484440281,37.6450241918603
"35","prsi04","prsi04",-0.962972730690673,1.25753557057994,"Anoplognathus_prasinus",1.985,43.5747007861718,20.5332068658327,63.65716926949,1.39086871148308,0.44540295329184,2.21430443067035,55.0344305023451,79.0213901808754,34.1285262998396
"36","prsi05","prsi05",-0.813436834564177,0.38330995043371,"Anoplognathus_prasinus",1.985,41.8747006684979,16.3742243235147,64.1105418325884,1.75889350869803,0.604855968215613,2.76492153955092,56.3664058228041,83.0209197082696,33.1245366278607
"37","prsi06","prsi06",-1.14662925747027,1.87421556868556,"Anoplognathus_prasinus",1.985,46.9470718873748,21.0549799846256,69.5197323131498,1.40546086836646,0.460179543110508,2.22874271704496,51.6474672442588,78.4848404722639,28.2515249698052
"38","pvul05","pvul05",-0.537628145533765,-1.5950636434753,"Anoplognathus_parvulus",1.62375,34.0101049178401,24.6020027364123,42.203839688197,25.3402728499891,8.37933695786422,40.1246329115843,40.6496222321707,67.0186603057235,17.6715274002187
"39","pvul06","pvul06",-0.948121444319758,-1.38568078193416,"Anoplognathus_parvulus",1.62375,35.9576006910365,31.8348009437338,39.5642270847273,38.8094818542819,18.0763097453855,56.8787957245373,25.2329174546816,50.0888893108807,3.55697719073538
"40","rayn04","rayn04",1.90073279913857,-2.92905321704775,"Calloodes_rayneri",2.25,17.3128929361761,10.9110315292791,22.8621380921809,18.4003171251945,3.42114725922446,31.4418345000893,64.2867899386294,85.6678212114964,45.6960274077299
"41","rayn05","rayn05",1.90073279913857,-2.92905321704775,"Calloodes_rayneri",2.25,22.9547788269804,12.0090143989093,32.4661556144677,21.0647208206219,5.47223413449131,34.6468122365985,55.9805003523977,82.5187514665994,32.8870321489338
"42","repa03","repa03",-1.18492053114935,0.24014497539994,"Repsimus_aeneus",2.293,17.0814599252817,8.93514977146471,24.1586994931835,7.77394592329657,0.35565939587469,14.2233465785367,75.1445941514218,90.7091908326606,61.6179539282798
"43","reps03","reps03",0.679320070452968,0.620578829417164,"Repsimus_manicatus",2.2205,14.4521467307051,4.88859103534751,22.760391465373,11.1274497137002,0.842491258284116,20.0713066550442,74.4204035555946,94.2689177063684,57.1683018795829
"44","smgg03","smgg03",-4.51032384139569,0.434360353862848,"Anoplognathus_smaragdinus",1.82225,18.1846245264614,5.41918983886878,29.2830482444454,18.8696209288005,5.87151150671485,30.199813558561,62.9457545447381,88.7092986544164,40.5171381969936
"45","smgg04","smgg04",-2.67787810160706,-0.572927411057435,"Anoplognathus_smaragdinus",1.82225,27.1072729026569,5.70334198874577,45.7331185567012,6.48298122761726,1.47539081163817,10.8449566590215,66.4097458697258,92.8212671996161,43.4219247842773
"46","tars05","tars05",1.1329708589452,0.851309420210177,"Anoplognathus_viriditarsis",2.903666667,35.638362184209,17.9952711056815,51.0146691891659,14.0314456995988,7.15335758342855,20.0257897935968,50.3301921161923,74.85137131089,28.9595410172373
"47","tars06","tars06",1.68495995506907,0.486356586467944,"Anoplognathus_viriditarsis",2.903666667,31.45965158777,16.3894051141967,44.6001370652527,11.5951559080243,6.07925408097153,16.4010336014559,56.9451925042057,77.5313408048318,38.9988293332914
"48","xyle07","xyle07",-0.512080208963369,1.05951470656244,"Xylonichus_sp",2.345,21.2862911125231,4.26022658375012,36.1143400125278,27.6235849766454,13.2774915629417,40.1377807264164,51.0901239108314,82.4622818533082,23.7478792610557
"49","xyle08","xyle08",-0.419233569321923,2.47536699110689,"Xylonichus_sp",2.345,56.8318342069868,27.0261460107271,82.8214283170613,2.07375990082586,0.411965810585017,3.5198706918005,41.0944058921874,72.5618881786878,13.6587009911382
"50","xyle09","xyle09",-0.0979888469123817,1.36596031463185,"Xylonichus_sp",2.345,44.0878657625759,12.5268345871864,71.5781826397908,2.68363851088585,0.265568722141311,4.78686033836985,53.2284957265383,87.2075966906723,23.6349570218393
