"","estimateP1","ts1","ps1","estimateP2","tP2","pP2"
"901",0.0885234337015235,2.74625507871712,0.00869976024952868,-0.0540503991958262,-1.62769243706389,0.11073095579866
"902",0.0853347814858633,2.63542837283415,0.0115611511620937,-0.0586897539014367,-1.7779272079371,0.0823271592147565
"903",0.0920254643916615,2.78749034480789,0.00781373158017318,-0.0566119352192733,-1.68176958207108,0.099698936155407
"904",0.0954843818403876,2.90745659617858,0.00568918433147925,-0.0566378737043148,-1.68374951759605,0.0993128670469643
"905",0.0791281553804805,2.58385581817998,0.0131677258819471,-0.0555274320586185,-1.79145497860265,0.0800998701089661
"906",0.079575031226609,2.4871893130625,0.016739655120503,-0.0594645476712463,-1.82004102051718,0.0755595675014458
"907",0.0924666283938018,2.8406710299317,0.0067943570038107,-0.0551450244424453,-1.64758815723537,0.106561352886657
"908",0.078859806369886,2.54587449042111,0.0144787376723765,-0.0503171271166989,-1.61095201631393,0.114341679184305
"909",0.0845991779077917,2.62804023416506,0.0117797020353805,-0.0585660348864067,-1.80177750838128,0.0784345668487592
"910",0.0810819594074388,2.61541311250521,0.0121620193808045,-0.0565269936877047,-1.79115352197078,0.0801489464471143
"911",0.0852708027720151,2.66921112625819,0.0106084464437752,-0.056952964702221,-1.74906182341103,0.0872536623136113
"912",0.0895412608631805,2.76819528798988,0.00821737768348862,-0.0543473338827829,-1.64066565746701,0.107997281029756
"913",0.0857563416478316,2.62886686021752,0.0117550624248406,-0.0569390412205843,-1.72511535650895,0.0915252046299049
"914",0.0850675129008504,2.69858991369096,0.00983920850739528,-0.0477651343875473,-1.4792331391836,0.14620239387793
"915",0.0677846750482879,2.41133763996817,0.0201355098844878,-0.0776946603175155,-2.99664927482846,0.00447336273434029
"916",0.0881127215682572,2.81291373369281,0.00730990884841498,-0.0559032709339436,-1.70332830779713,0.095561225443102
"917",0.0913514008878282,2.82675421155264,0.00704846563347239,-0.0561157095293207,-1.68479297110207,0.0991099002300231
"918",0.0919923552691075,2.81744792806488,0.00722328391396054,-0.0574093375030164,-1.71558606130542,0.0932727226638974
"919",0.0948874571550672,2.91015690794469,0.00564823746546228,-0.0564564017795512,-1.69124778975197,0.0978619424737852
"920",0.0929181720792177,2.84319061929408,0.00674927172258588,-0.0563401690621126,-1.68610703264718,0.0988547834655766
"921",0.0805545070338332,2.57625758948251,0.0134209740887758,-0.0607064738193702,-1.93726198510848,0.0591494981024705
"922",0.0916307182375943,2.81770941854538,0.00721831735859624,-0.0521711909809757,-1.57145132463308,0.123242041098435
"923",0.0848761113789527,2.65068347399215,0.0111216136146153,-0.0557370599684844,-1.71385811764879,0.0935925470549195
"924",0.0905879498190176,2.78660822187237,0.00783177725596151,-0.0554677845507856,-1.65128100427697,0.105801773476076
"925",0.0843229242784725,2.62932483823585,0.0117414316299513,-0.0501733144626806,-1.51140242940548,0.137835349434434
"926",0.0918717899258867,2.81367265943955,0.00729534286776223,-0.0563104387847333,-1.68623414283763,0.0988301346086762
"927",0.0874832469256439,2.75749483111648,0.00844946221082843,-0.0521103436670227,-1.5987450380573,0.117034564003737
"928",0.08644231434639,2.6733095636105,0.0104979123881397,-0.0561480761902223,-1.70117121579257,0.0959687244209535
"929",0.0726844020618793,2.46627011389015,0.0176201395108566,-0.0582564336248212,-2.00216007598083,0.0514551572823274
"930",0.0813901685276692,2.57206971168143,0.0135624509963204,-0.0534554160094524,-1.64879264459798,0.10631311281371
"931",0.0903769453772403,2.7574217036172,0.00845106894177072,-0.0595652408580686,-1.79298725408862,0.0798508099908708
"932",0.067309805735008,2.32670186747693,0.0246485317994423,-0.05149720003543,-1.62864999852641,0.110527267864887
"933",0.0820526939909992,2.60296686072901,0.0125499570448904,-0.0515333434572974,-1.60553314675175,0.115530803500699
"934",0.0950693794961198,2.91891489924965,0.00551731744443451,-0.0554631991197448,-1.66377297814958,0.103265174664046
"935",0.0799056796126492,2.64772420075469,0.0112056587855593,-0.050603144880601,-1.62875551483045,0.11050484167051
"936",0.0919590711529446,2.79699938698532,0.0076216351885956,-0.0568717070856669,-1.72105430698422,0.0922665793284532
"937",0.0908157010684677,2.77761957947544,0.00801787252898878,-0.0561304327395697,-1.68412885045975,0.0992390416613558
"938",0.0900677465723696,2.76812100245338,0.00821896834410518,-0.0557418225242211,-1.67590007388977,0.100850717174964
"939",0.0909234431594881,2.77544887476287,0.00806342312725272,-0.0558530259312361,-1.67406383340324,0.101213289040497
"940",0.0884605176745238,2.72939275219388,0.00908814195903407,-0.0574346747472871,-1.72036528099474,0.092392859830803
"941",0.0887558774264395,2.73084344191276,0.00905410988769439,-0.0573496949401748,-1.73800285555656,0.0892052227619287
"942",0.0847297458724109,2.65131107548361,0.0111038639363947,-0.0581226734129941,-1.80881879461882,0.07731541508601
"943",0.0616979667565283,2.14977825997378,0.0371099617087016,-0.0737449439320276,-2.64472661953727,0.0112913862527246
"944",0.0873941428731375,2.69236555407783,0.00999775988786511,-0.0589893021386564,-1.81613140674459,0.0761674133397685
"945",0.0921342031192849,2.78926166458124,0.00777761180218506,-0.0566296152257833,-1.69089235553304,0.0979303217601963
"946",0.0921857210462811,2.81984431408314,0.00717788715111745,-0.0544018499777385,-1.62344521533187,0.111638103200766
"947",0.090665096261188,2.79788919742045,0.0076038855289231,-0.055534128889626,-1.67030481102649,0.101958870231916
"948",0.0865939776190997,2.68467634675883,0.0101968733468873,-0.0534726337819719,-1.62199991688899,0.111948178466161
"949",0.0949284143233793,2.91193519777993,0.00562142222366591,-0.0562204070974234,-1.65660245675064,0.104715025092302
"950",0.0922791595566466,2.80746093332871,0.0074153598961324,-0.0548314047130116,-1.62698908285449,0.110880765188117
"951",0.0939826278656103,2.89774008165025,0.00583882470104569,-0.0551150051771196,-1.6335903350664,0.109481241025913
"952",0.0898412022541,2.77448120033051,0.00808380615022619,-0.0539904598471455,-1.63208264489913,0.109799605536433
"953",0.0858849608071671,2.78745758244173,0.0078144011137562,-0.0555942136423132,-1.8314187238193,0.0738138772813088
"954",0.0883980029415705,2.72909909506589,0.00909504528720761,-0.0554561605116643,-1.6610408289939,0.10381564592694
"955",0.0932903258729946,2.86623165016346,0.0063496883937233,-0.054672611814601,-1.62699893734483,0.110878665109855
"956",0.0979186861012699,2.97149136843963,0.00478906918830058,-0.0582065333500367,-1.73149484891903,0.0903705853966998
