"","ind","ElytrPol","PronotPol","Difference"
"1","abno01",0.0563175768275163,0.0748541892424314,-0.0185366124149151
"2","abno02",0.072289793075562,0.0890525060805937,-0.0167627130050317
"3","anom01",0.136467530748957,0.159963653335567,-0.0234961225866103
"4","anom02",0.185471909928326,0.159261910149371,0.026209999778955
"5","atki01",0.305831216818775,0.107215807106007,0.198615409712768
"6","atki02",0.303554191193095,0.134514027308169,0.169040163884926
"7","aurs01",0.157498739894071,0.350549872418636,-0.193051132524565
"8","aurs02",0.253712447961832,0.469465605315589,-0.215753157353758
"9","boid01",0.038510215306406,0.0349076504948852,0.00360256481152076
"10","boid02",0.0992745401752739,0.120139818485289,-0.020865278310015
"11","boid03",0.0672924267333977,0.127420248177582,-0.0601278214441847
"12","boid04",0.114422467254213,0.167190864601684,-0.0527683973474708
"13","boid05",0.122845420988915,0.131633756733224,-0.00878833574430885
"14","brev01",0.0807891790788736,0.0639911283154044,0.0167980507634692
"15","brev02",0.09346480089424,0.057252399478602,0.036212401415638
"16","brun01",-0.0534436241178579,-0.281546628126718,0.22810300400886
"17","brun04",-0.067871828227336,-0.258059736617657,0.190187908390321
"18","brun05",-0.0512715883944829,-0.228613875613679,0.177342287219196
"19","clor07",-0.0823808557832843,-0.0127306526485567,-0.0696502031347276
"20","clor08",-0.0963816761233785,-0.0378312485694424,-0.0585504275539361
"21","clor09",-0.169256455399992,-0.0295941566299555,-0.139662298770037
"22","conc01",-0.0430155431126923,-0.0261506063811326,-0.0168649367315596
"23","conc03",-0.0169763728060377,-0.04170522795642,0.0247288551503823
"24","ecry01",0.14283117464925,0.0344620280333677,0.108369146615882
"25","ecry02",0.311277085318578,0.229242719351489,0.0820343659670892
"26","fchi01",0.36712887980481,0.20809838928474,0.15903049052007
"27","fchi02",0.471867427159769,0.224766632372141,0.247100794787628
"28","gray01",0.136116558952885,0.0918869610427697,0.0442295979101148
"29","gray02",0.167110936301916,0.134846306436784,0.0322646298651315
"30","gray03",0.127179852783728,0.132242618569489,-0.0050627657857614
"31","hirs01",-0.0507636520353787,-0.0285933941151249,-0.0221702579202538
"32","hirs02",-0.0969720333781756,-0.015902880130796,-0.0810691532473795
"33","hirs03",-0.11274761185488,-0.406688068109633,0.293940456254753
"34","hirs04",-0.0634865392253849,-0.0292916441852161,-0.0341948950401688
"35","hirs05",-0.0387883940199322,-0.0418618369214441,0.00307344290151197
"36","hirs06",-0.0754976157265595,-0.0203769502620673,-0.0551206654644922
"37","hirs07",-0.0852882018286234,-0.0348524353565189,-0.0504357664721045
"38","hirs08",-0.0204673129625956,-0.0903647259852523,0.0698974130226568
"39","hirs09",-0.12795972563464,-0.0502836432710548,-0.0776760823635852
"40","hirs10",-0.0665401262325679,-0.0401511789744113,-0.0263889472581567
"41","hirs11",-0.0648403483956789,-0.0485403876461985,-0.0162999607494804
"42","hirs12",-0.048606367551456,-0.0141616111212679,-0.0344447564301881
"43","hirs13",-0.0791299822664005,-0.0369715753992387,-0.0421584068671618
"44","hirs14",-0.119803074697988,-0.0606769840543389,-0.0591260906436495
"45","lats01",0.402025844220437,0.276920134437757,0.12510570978268
"46","lats02",0.424924522200729,0.507824269399309,-0.0828997471985803
"47","lats03",0.427598129943236,0.317917618228685,0.109680511714551
"48","macl02",-0.0200046547434446,-0.0466876498300913,0.0266829950866467
