"","estimateP1","ts1","ps1","estimateP2","tP2","pP2","estimateP3","tP3","pP3","estimateP4","tP4","pP4","estimateP5","tP5","pP5"
"566",0.201912122055689,0.127563247357219,0.899118234381799,5.02097165000763,2.66396553880434,0.0109893113028066,-0.893033744725582,-0.675359294453371,0.503238888646103,-0.0569967872620157,-0.0837808728261251,0.933638394824735,-1.96238595267855,-2.58178310363221,0.01350100392622
"567",0.201911971534022,0.127563148010647,0.89911831251329,5.02097138397557,2.66396532190571,0.0109893173226732,-0.893033355555217,-0.675358973313274,0.50323909052374,-0.056996731703969,-0.0837807886645454,0.933638461328283,-1.96238583283655,-2.58178286403021,0.0135010119603092
"568",0.20191197455192,0.127563154921027,0.899118307078595,5.02097174162003,2.66396556819178,0.0109893104871794,-0.893033749027828,-0.675359306195696,0.503238881264551,-0.0569967076453945,-0.0837807562779762,0.933638486919792,-1.9623859810105,-2.58178312501856,0.0135010032091154
"569",0.201912247415745,0.127563326430138,0.899118172194601,5.02097174079707,2.66396556143001,0.0109893106748473,-0.89303356174371,-0.675359158358225,0.503238974199309,-0.0569968423909268,-0.0837809540991672,0.933638330603678,-1.96238599597152,-2.58178314285219,0.0135010026111364
"570",0.201911981959503,0.127563153026109,0.899118308568861,5.02097127330239,2.66396526878838,0.0109893187969072,-0.893033502002524,-0.67535906154118,0.503239035061209,-0.0569967267628125,-0.0837807801334638,0.933638468069449,-1.96238582132158,-2.58178284724114,0.0135010125232631
"571",0.201912040871771,0.127563192742719,0.899118277333581,5.02097127554089,2.66396530997022,0.0109893176539342,-0.893033603857528,-0.675359162855883,0.503238971371956,-0.0569967528223364,-0.0837808201763595,0.933638436427997,-1.96238581007913,-2.58178288177088,0.0135010113654468
"572",0.20191208877819,0.127563225903075,0.899118251254492,5.02097141047514,2.66396543093416,0.0109893142966659,-0.893033596445334,-0.675359177232201,0.503238962334601,-0.0569967577473828,-0.0837808292812262,0.933638429233432,-1.96238585383231,-2.58178299143416,0.0135010076883297
"573",0.201912009835943,0.127563174713725,0.899118291512552,5.02097107663787,2.66396526229936,0.0109893189770054,-0.893033526134371,-0.675359120672616,0.503238997889536,-0.0569967219491804,-0.0837807758808127,0.933638471429847,-1.96238572647446,-2.58178282526457,0.013501013260159
"574",0.201911984091092,0.127563158168071,0.899118304524945,5.02097162487673,2.66396544714155,0.0109893138468413,-0.89303377208408,-0.675359279904676,0.503238897791819,-0.056996711784804,-0.0837807603171574,0.933638483728076,-1.96238594175594,-2.58178300762765,0.0135010071453463
"575",0.201912038589275,0.127563190581464,0.899118279033308,5.02097146652219,2.66396545062905,0.0109893137500485,-0.893033664779581,-0.67535919920935,0.503238948519151,-0.0569967467035222,-0.0837808102140694,0.933638444300088,-1.96238589152029,-2.58178301933314,0.0135010067528498
