"","ind","Polarization","spp","phylogeny_name"
"91","pczo03",0.0224209375925743,"pczo","Paraschizognathus_ocularis"
"92","pczp02",-0.0424090525646387,"pczp","Paraschizognathus_prasinus"
"93","pczp03",-0.0805040386264603,"pczp","Paraschizognathus_prasinus"
"94","pczp04",-0.0653121292993393,"pczp","Paraschizognathus_prasinus"
"95","pczv01",-0.0682624474091479,"pczv","Paraschizognathus_olivaceous"
"96","pczv02",-0.0792202346503918,"pczv","Paraschizognathus_olivaceous"
"97","pczv03",-0.0720482183205573,"pczv","Paraschizognathus_olivaceous"
"98","pind01",-0.00826455962341172,"pind","Anoplognathus_pindarus"
"99","pind02",-0.00486638892447526,"pind","Anoplognathus_pindarus"
"100","pind04",0.0151925723739066,"pind","Anoplognathus_pindarus"
"101","pind05",0.0324894102573182,"pind","Anoplognathus_pindarus"
"102","pind06",0.0138725483104726,"pind","Anoplognathus_pindarus"
"103","pind07",0.036773598507235,"pind","Anoplognathus_pindarus"
"104","pind08",0.0147313441529306,"pind","Anoplognathus_pindarus"
"105","pine01",0.15605577920392,"pine","Anoplognathus_mcalpinei"
"106","poro01",0.00389699002984288,"poro","Anoplognathus_porosus"
"107","poro02",-0.0189380731064536,"poro","Anoplognathus_porosus"
"108","poro03",0.0105323601472629,"poro","Anoplognathus_porosus"
"109","poro04",0.00919016214281327,"poro","Anoplognathus_porosus"
"110","poro05",0.0374417598365955,"poro","Anoplognathus_porosus"
"111","poro06",0.0389666030849461,"poro","Anoplognathus_porosus"
"112","poro07",0.0372264072620071,"poro","Anoplognathus_porosus"
"113","poro08",0.0322276637922119,"poro","Anoplognathus_porosus"
"114","poro09",0.0252491985702418,"poro","Anoplognathus_porosus"
"115","poro12",0.0180849444655244,"poro","Anoplognathus_porosus"
"116","poro13",0.0402592742099232,"poro","Anoplognathus_porosus"
"117","poro14",0.0480469324036798,"poro","Anoplognathus_porosus"
"118","poro15",0.0304026493702559,"poro","Anoplognathus_porosus"
"119","prsi01",-0.0333573266155403,"prsi","Anoplognathus_prasinus"
"120","prsi02",-0.0144849471261011,"prsi","Anoplognathus_prasinus"
"121","prsi03",-0.018098380845632,"prsi","Anoplognathus_prasinus"
"122","punc01",0.076965040346983,"punc","Anoplognathus_punctulatus"
"123","punc02",0.10613731277367,"punc","Anoplognathus_punctulatus"
"124","pvul01",0.166299528108989,"pvul","Anoplognathus_parvulus"
"125","pvul02",0.414058319586896,"pvul","Anoplognathus_parvulus"
"126","pvul03",0.404445150625907,"pvul","Anoplognathus_parvulus"
"127","pvul04",0.348784343796737,"pvul","Anoplognathus_parvulus"
"128","rayn01",0.400322817375311,"rayn","Calloodes_rayneri"
"129","rayn02",0.166003737688753,"rayn","Calloodes_rayneri"
"130","rayn03",0.212127659942243,"rayn","Calloodes_rayneri"
"131","repa01",0.0701134571359575,"repa","Repsimus_aeneus"
"132","repa02",0.0513398926129206,"repa","Repsimus_aeneus"
"133","reps01",0.0357721741073744,"reps","Repsimus_manicatus"
"134","reps02",0.0477717028335826,"reps","Repsimus_manicatus"
"135","rept01",0.0634660097909498,"rept","Repsimus_manicatus"
"136","rept02",0.0585501310266698,"rept","Repsimus_manicatus"
"137","rina02",0.113400712730468,"rina","Anoplognathus_rhinastus"
"138","rina03",0.0780115123688815,"rina","Anoplognathus_rhinastus"
"139","rina04",0.0687485050761196,"rina","Anoplognathus_rhinastus"
"140","roci02",0.0571626592647922,"roci","Anoplognathus_rothschildti"
"141","roci03",0.053161594710244,"roci","Anoplognathus_rothschildti"
"142","roci04",0.0570202559597645,"roci","Anoplognathus_rothschildti"
"143","rose01",0.518633599914006,"rose","Anoplostethus_roseus"
"144","rose02",0.333442086233179,"rose","Anoplostethus_roseus"
"145","rose03",0.406881869017664,"rose","Anoplostethus_roseus"
"146","rose04",0.501785012728037,"rose","Anoplostethus_roseus"
"147","rubi01",-0.00217294153353069,"rubi","Anoplognathus_suturalis"
"148","rubi02",0.0467761951237563,"rubi","Anoplognathus_suturalis"
"149","rubi03",0.114286653352416,"rubi","Anoplognathus_suturalis"
"150","rubi04",0.093105604016784,"rubi","Anoplognathus_suturalis"
"151","rubi05",0.118099314619652,"rubi","Anoplognathus_suturalis"
"152","rubi06",0.0986615344397873,"rubi","Anoplognathus_suturalis"
"153","rugo01",-0.0359126669890908,"rugo","Anoplognathus_rugosus"
"154","rugo02",-0.0463779831044408,"rugo","Anoplognathus_rugosus"
"155","rugo03",-0.0451372406497334,"rugo","Anoplognathus_rugosus"
"156","smgg01",0.215123397154204,"smgg","Anoplognathus_smaragdinus"
"157","smgg02",0.145212095202373,"smgg","Anoplognathus_smaragdinus"
"158","smgp01",0.0306875718973154,"smgp","Anoplognathus_smaragdinus"
"159","smgr01",0.216455576312258,"smgr","Anoplognathus_smaragdinus"
"160","tars01",0.0505942104628579,"tars","Anoplognathus_viriditarsis"
"161","tars02",0.0713067067621188,"tars","Anoplognathus_viriditarsis"
"162","tars03",0.117140382889627,"tars","Anoplognathus_viriditarsis"
"163","velu01",0.0262120365260607,"velu","Anoplognathus_velutinus"
"164","velu02",0.0668498424962812,"velu","Anoplognathus_velutinus"
"165","velu03",0.0371272587939143,"velu","Anoplognathus_velutinus"
"166","velu04",0.0878017622943288,"velu","Anoplognathus_velutinus"
"167","velu05",0.0591481990420027,"velu","Anoplognathus_velutinus"
"168","vrdi02",0.114914696574649,"vrdi","Anoplognathus_viridiaeneus"
"169","vrdi03",-0.0302392971682471,"vrdi","Anoplognathus_viridiaeneus"
"170","xyle01",-0.0406042778588076,"xyle","Xylonichus_sp"
"171","xyle02",-0.0834479986206873,"xyle","Xylonichus_sp"
"172","xyls01",-0.0594369330244814,"xyls","Xylonichus_sp"
"173","xyls02",-0.0371427466215405,"xyls","Xylonichus_sp"
"174","xyls03",-0.0571108931865135,"xyls","Xylonichus_sp"
