"","estimateP1","ts1","ps1","estimateP2","tP2","pP2","estimateP3","tP3","pP3","estimateP4","tP4","pP4","estimateP5","tP5","pP5"
"1",-5.58018558679188,-1.79742850802932,0.080660216927376,-5.37545020224366,-1.21051406970261,0.233969620421671,8.77904246067925,2.62094926819046,0.0127637734677106,2.63992069521326,1.98921662962099,0.0543173355428239,1.83279622300445,1.05683190786607,0.297628921837437
"2",-5.64624287833835,-1.68756983221481,0.100140938515965,-5.92083877938038,-1.3191566618295,0.195446175546517,8.26673530695455,2.51483626435215,0.0165154084143455,2.72335541911553,1.92098605402283,0.0626801551424465,2.11265690052231,1.20547615415694,0.235883561169927
"3",-7.01114409885382,-1.87429729960113,0.0690225628754879,-6.52450571925037,-1.32295215966526,0.194193464359719,8.53327702091646,2.24721788800583,0.0308494355546598,3.20470289768525,2.00053980351735,0.0530276133956715,2.42599401705534,1.23872219353926,0.223464742991555
"4",-5.96563946008754,-1.74388804503563,0.089713392436872,-6.27568567526173,-1.35544267628938,0.183720071390724,8.07282627963981,2.26903898807548,0.029358287314643,2.84508702417642,1.96295434966759,0.0574140260889582,2.34981827362444,1.27576714546821,0.210208418559288
"5",-5.15834543359139,-1.50208446217268,0.141796949476826,-5.99232454230429,-1.27511650661667,0.210436018050078,8.33233551170422,2.38028347019035,0.022715890159696,2.44182699683625,1.65223983727511,0.107182694481744,2.156694990044,1.16507393993399,0.251651221823884
"6",-4.12578105615488,-1.25705715658231,0.216827708694014,-7.92334417592777,-1.81615241701621,0.0776821732195274,7.63734534361376,2.2584480667281,0.0300737600870766,2.04891841393616,1.48493930671079,0.146264483206799,3.05439051745965,1.75539682279884,0.0876985021886199
"7",-5.13554496544792,-1.58422962305092,0.121887985596037,-5.85859401099401,-1.28435746752708,0.207220830227491,8.18197357044043,2.47438526954925,0.0181938231443102,2.564972760597,1.83595523739689,0.0746345828521795,2.14102730995909,1.19719077403818,0.239056295217243
"8",-5.911817031627,-1.76061879403498,0.0867968900300475,-7.46377600929559,-1.62599105917655,0.112675056685732,8.95367298786129,2.5425191120979,0.015449746724546,2.80070687758669,1.99671429289676,0.0534603302875958,2.87278414649218,1.58380317464819,0.121985140179549
"9",-5.27992830840717,-1.5623844350187,0.126946498548966,-3.4263902700864,-0.880500340474199,0.384428841835995,8.5632829098696,2.68799225968888,0.0108163810737345,2.46513394097287,1.7223561196526,0.0935873927335962,1.15565389221047,0.729837404019999,0.470212238514869
"10",-6.56604168149929,-1.88528994783299,0.0674817653361117,-5.38534522650987,-1.15564235270279,0.255439987669197,9.29308979522152,2.49028030834696,0.0175165505312329,3.00841824152316,2.02716746269133,0.0500993006919443,1.99953198055832,1.07493009135328,0.289557965550513
"11",-3.71234417004169,-1.11589676178716,0.271859735140651,-7.67335101250349,-1.67088813767644,0.103416469737144,7.46932565289109,2.13421930168332,0.039706298347824,1.88881362640028,1.3225843671078,0.194314585654074,2.79939650926308,1.54286857697643,0.131608394642365
