"","wl","anom03","anom02","atki03","atki04","aurs03","aurs04","clor17","conc05","conc06","ecry04","ecry05","fchi03","fchi04","gray04","gray05","hirs15","hirs16","lats04","lats05","mcla03","macl06","macl07","narm04","narm05","pczo05","pczv04","pczv05","opal03","pali08","pali09","poro16","poro17","pczp05","pczp06","prsi04","prsi05","prsi06","pvul05","pvul06","rayn04","rayn05","repa03","reps03","smgg03","smgg04","tars05","tars06","xyle07","xyle08","xyle09","Sun"
"1262",1661,68.26595238,21.084166665,48.744642855,19.525357145,45.580833335,48.463333335,50.67630952,48.294761905,46.646904765,49.86154762,49.105357145,11.863333335,16.17357143,15.40797619,17.65047619,37.77,31.572857145,33.08892857,27.715714285,13.166666665,9.4325,13.68892857,12.73154762,13.12392857,38.79380952,46.304285715,31.175,39.24547619,19.26595238,18.462857145,32.52345238,10.42107143,33.94404762,32.865714285,3.199761905,3.091547619,3.395,50.79095238,70.191904765,42.257857145,46.08380952,24.86142857,33.745357145,36.497142855,16.377142855,29.00642857,26.611666665,43.760238095,17.55619048,24.382142855,0.219175
"1263",1662,68.19333333,21.03833333,48.665,19.475,45.45166667,48.31666667,50.62833333,48.23666667,46.58666667,49.82166667,49.055,11.82666667,16.13,15.37166667,17.60666667,37.76,31.56,32.995,27.64,13.14333333,9.425,13.675,12.72166667,13.115,38.78333333,46.28,31.13,39.19666667,19.23333333,18.44,32.50833333,10.405,33.89666667,32.84,3.196666667,3.091666667,3.39,50.73333333,70.10666667,42.18,46.01333333,24.78,33.635,36.47,16.35,28.97,26.56333333,43.74333333,17.51666667,24.32,0.21625
"1264",1663,68.135,21.001666665,48.608333335,19.435833335,45.35916667,48.210833335,50.581666665,48.1925,46.5375,49.785,49.016666665,11.79416667,16.096666665,15.3425,17.5725,37.760833335,31.5575,32.9175,27.579166665,13.124166665,9.4208333335,13.666666665,12.715833335,13.111666665,38.7725,46.248333335,31.094166665,39.165833335,19.204166665,18.420833335,32.496666665,10.391666665,33.86,32.8225,3.194166667,3.0925,3.3866666665,50.689166665,70.03916667,42.121666665,45.96333333,24.715,33.553333335,36.458333335,16.3325,28.94,26.5225,43.719166665,17.48,24.265833335,0.215095
"1265",1664,68.07666667,20.965,48.55166667,19.39666667,45.26666667,48.105,50.535,48.14833333,46.48833333,49.74833333,48.97833333,11.76166667,16.06333333,15.31333333,17.53833333,37.76166667,31.555,32.84,27.51833333,13.105,9.416666667,13.65833333,12.71,13.10833333,38.76166667,46.21666667,31.05833333,39.135,19.175,18.40166667,32.485,10.37833333,33.82333333,32.805,3.191666667,3.093333333,3.383333333,50.645,69.97166667,42.06333333,45.91333333,24.65,33.47166667,36.44666667,16.315,28.91,26.48166667,43.695,17.44333333,24.21166667,0.21394
"1266",1665,67.97404762,20.90107143,48.44654762,19.32904762,45.12261905,47.93892857,50.45607143,48.087738095,46.41702381,49.679166665,48.912738095,11.70011905,16.00880952,15.26595238,17.48630952,37.767261905,31.555357145,32.710714285,27.417738095,13.07107143,9.4104761905,13.64630952,12.700714285,13.100595235,38.73869048,46.164761905,31.00202381,39.090357145,19.121785715,18.37011905,32.465357145,10.35630952,33.75595238,32.779642855,3.1879761905,3.0938095235,3.378095238,50.56607143,69.86154762,41.97880952,45.83880952,24.550714285,33.345833335,36.42119048,16.283214285,28.85857143,26.412261905,43.641785715,17.378095235,24.112261905,0.213365
"1267",1666,67.87142857,20.83714286,48.34142857,19.26142857,44.97857143,47.77285714,50.37714286,48.02714286,46.34571429,49.61,48.84714286,11.63857143,15.95428571,15.21857143,17.43428571,37.77285714,31.55571429,32.58142857,27.31714286,13.03714286,9.404285714,13.63428571,12.69142857,13.09285714,38.71571429,46.11285714,30.94571429,39.04571429,19.06857143,18.33857143,32.44571429,10.33428571,33.68857143,32.75428571,3.184285714,3.094285714,3.372857143,50.48714286,69.75142857,41.89428571,45.76428571,24.45142857,33.22,36.39571429,16.25142857,28.80714286,26.34285714,43.58857143,17.31285714,24.01285714,0.21279
"1268",1667,67.79785714,20.79,48.260714285,19.212142855,44.877857145,47.659285715,50.321428575,47.986428575,46.296428575,49.559285715,48.799285715,11.59357143,15.915,15.185,17.398571425,37.773571425,31.552857145,32.490714285,27.24714286,13.01214286,9.3985714285,13.623571425,12.68285714,13.08642857,38.697857145,46.078571425,30.901428575,39.015,19.03,18.31642857,32.429285715,10.31785714,33.63857143,32.735714285,3.1814285715,3.094285714,3.3685714285,50.427857145,69.67142857,41.83642857,45.712142855,24.38285714,33.132142855,36.37214286,16.225714285,28.76857143,26.292142855,43.549285715,17.265,23.939285715,0.21217
"1269",1668,67.72428571,20.74285714,48.18,19.16285714,44.77714286,47.54571429,50.26571429,47.94571429,46.24714286,49.50857143,48.75142857,11.54857143,15.87571429,15.15142857,17.36285714,37.77428571,31.55,32.4,27.17714286,12.98714286,9.392857143,13.61285714,12.67428571,13.08,38.68,46.04428571,30.85714286,38.98428571,18.99142857,18.29428571,32.41285714,10.30142857,33.58857143,32.71714286,3.178571429,3.094285714,3.364285714,50.36857143,69.59142857,41.77857143,45.66,24.31428571,33.04428571,36.34857143,16.2,28.73,26.24142857,43.51,17.21714286,23.86571429,0.21155
"1270",1669,67.61630952,20.670595235,48.056666665,19.084761905,44.62357143,47.370357145,50.17869048,47.89202381,46.176904765,49.424285715,48.67488095,11.47761905,15.81452381,15.09988095,17.308095235,37.77547619,31.5475,32.256666665,27.06357143,12.947738095,9.385595238,13.598095235,12.66047619,13.07,38.648333335,45.994642855,30.794404765,38.93630952,18.92404762,18.25630952,32.385595235,10.27404762,33.50595238,32.694404765,3.1742857145,3.094642857,3.3579761905,50.271785715,69.465714285,41.686785715,45.58,24.207142855,32.90797619,36.31095238,16.160833335,28.666666665,26.16404762,43.446666665,17.141904765,23.74619048,0.21151
"1271",1670,67.50833333,20.59833333,47.93333333,19.00666667,44.47,47.195,50.09166667,47.83833333,46.10666667,49.34,48.59833333,11.40666667,15.75333333,15.04833333,17.25333333,37.77666667,31.545,32.11333333,26.95,12.90833333,9.378333333,13.58333333,12.64666667,13.06,38.61666667,45.945,30.73166667,38.88833333,18.85666667,18.21833333,32.35833333,10.24666667,33.42333333,32.67166667,3.17,3.095,3.351666667,50.175,69.34,41.595,45.5,24.1,32.77166667,36.27333333,16.12166667,28.60333333,26.08666667,43.38333333,17.06666667,23.62666667,0.21147
