"","phylogeny_name","PC1_1","PC2_1"
"1","Anomala_antigua",-1.66296297307367,-1.90153250951286
"2","Anoplognathus_abnormis",-1.98344973505771,0.116198636416917
"3","Anoplognathus_aeneus",-1.90387820453306,0.419188567457426
"4","Anoplognathus_aureus",-3.12236331667037,-0.411861762382219
"5","Anoplognathus_boisduvalii",-1.63532539398612,-0.922038639403894
"6","Anoplognathus_brevicollis",-1.14520833994404,-3.62691932578243
"7","Anoplognathus_brunnipennis",1.21003444677789,0.460779228483096
"8","Anoplognathus_concolor",-0.149100564981519,1.42791279570562
"9","Anoplognathus_daemeli",-3.10163392232571,-0.313792565407746
"10","Anoplognathus_flavipennis",0.719620581625782,0.706099793323483
"11","Anoplognathus_hirsutus",1.12083480024465,1.05454152231304
"12","Anoplognathus_macleayi",2.48891154848731,-3.87690821619187
"13","Anoplognathus_mcalpinei",-2.92131214444569,-0.919655160075923
"14","Anoplognathus_montanus",1.39187385662588,0.037263807668535
"15","Anoplognathus_multiseriatus",-1.10588851037647,0.145445347245898
"16","Anoplognathus_narmarus",2.45654279834091,-1.5691549585619
"17","Anoplognathus_nebulosus",-1.35774318875526,-2.47775288053109
"18","Anoplognathus_olivieri",-0.612048658125456,0.932537414435665
"19","Anoplognathus_pallidicollis",1.48500088669145,-0.335067166361036
"20","Anoplognathus_parvulus",-1.19635285146275,-1.29089056151229
"21","Anoplognathus_pindarus",1.43615747241436,0.593449448765826
"22","Anoplognathus_porosus",0.452465046028609,0.374661819150769
"23","Anoplognathus_prasinus",-1.1129529502874,1.1916490357158
"24","Anoplognathus_punctulatus",-2.03888222127815,-0.227753160698661
"25","Anoplognathus_rhinastus",-0.341654431408614,0.0159929484582719
"26","Anoplognathus_rothschildti",-1.40677270002922,0.447096137453224
"27","Anoplognathus_rugosus",0.755312197800611,1.70165458592389
"28","Anoplognathus_smaragdinus",-3.67269341619868,0.0188913745364438
"29","Anoplognathus_suturalis",1.31382971104537,1.21964229866658
"30","Anoplognathus_velutinus",1.71236154102422,-0.511511690133136
"31","Anoplognathus_viridiaeneus",-0.505968807514738,0.442589659197956
"32","Anoplognathus_viriditarsis",0.690700842547152,0.677978698624819
"33","Anoplostethus_laetus",-1.78302834173008,-0.168561120055597
"34","Anoplostethus_opalinus",1.18885881624532,-0.816914932876387
"35","Anoplostethus_roseus",-1.9401501830876,-2.82276477054602
"36","Calloodes_atkinsonii",-2.54991426256655,0.47101386396799
"37","Calloodes_frenchii",-2.92743890359079,-1.09424287861391
"38","Calloodes_grayanus",-0.188954879915741,-5.20274631858475
"39","Calloodes_rayneri",-0.749839938512756,-0.729090939235913
"40","Epichrysus_lamprimoides",0.739283618927507,1.3897271038115
"41","Mimadoretus_niveosquamosus",-2.23341809148851,-0.314867086894302
"42","Paraschizognathus_ocularis",-0.374078565131926,1.24009772076816
"43","Paraschizognathus_olivaceous",-0.607965722512863,1.08468417099134
"44","Paraschizognathus_prasinus",1.08042644746176,1.52096310040036
"45","Repsimus_aeneus",-0.0994688412541859,0.684882903702156
"46","Repsimus_manicatus",1.03279061987981,1.10724981732074
"47","Xylonichus_sp",0.0122455148117007,2.20022837505414
