Spp,Reg,Latitude,Longitude,MonthMaxALA,MonthCollectionLabel,MonthsActivityALA,Batch,NameinHR
clor10,ANIC000874,-28.77,151.85,1,11,"01,02,11,12",original,NA
clor11,ANIC000963,-37.95,147.12,1,1,"01,02,11,12",original,NA
clor12,ANIC000964,-37.95,147.12,1,1,"01,02,11,12",original,NA
clor13,ANIC000965,-37.95,147.12,1,1,"01,02,11,12",original,NA
clor14,ANIC002571,-28.77,151.85,1,12,"01,02,11,12",original,NA
clor15,ANIC002572,-28.55,151.83,1,12,"01,02,11,12",original,NA
clor16,ANIC002575,-28.55,151.83,1,12,"01,02,11,12",original,NA
clor17,ANIC000962,-30.6,151.55,1,1,"01,02,11,12",HR,clor1
conc01,ANIC002674,-32.13,151.45,12,1,"01,02,11,12",original,NA
conc02,ANIC002675,-32.13,151.45,12,1,"01,02,11,12",original,NA
conc03,ANIC002676,-32.13,151.45,12,1,"01,02,11,12",original,NA
conc04,ANIC002682,-30.38,153.03,12,12,"01,02,11,12",original,NA
conc05,ANIC002611,-28.33,153.33,12,4,"01,02,11,12",HR,conc1
conc06,ANIC002612,-32.17,151.5,12,2,"01,02,11,12",HR,conc2
ecry01,PicXB13671,-35.03,117.88,1,1,"01,",original,NA
ecry02,PicXB44101,-35.03,117.88,1,1,"01,",original,NA
ecry03,PicXB4410,-35.03,117.88,1,1,"01,",original,NA
ecry04,ecry04,-34.96,117.86,1,1,"01,",HR,ecry1
ecry05,ecry05,-34.96,117.86,1,1,"01,",HR,ecry2
fchi01,PicXB13643,-11.45,142.35,6,1,"01,04,05,06,07",original,NA
fchi02,PicXB33972,-11.45,142.35,6,1,"01,04,05,06,07",original,NA
fchi03,fchi03,-11.39,142.27,6,1,"01,04,05,06,07",HR,fchi1
fchi04,fchi04,-11.39,142.27,6,6,"01,04,05,06,07",HR,fchi2
gray01,PicXB34007,-12.19,133.19,4,4,"01,02,03,04,05,12",original,NA
gray02,PicXB34011,-17.4,123.73,4,4,"01,02,03,04,05,12",original,NA
gray03,PicXB13638,-14.31,132.22,4,12,"01,02,03,04,05,12",original,NA
gray04,gray04,-18.96,144.99,4,4,"01,02,03,04,05,12",HR,gray1
gray05,gray05,-17.69,123.6,4,4,"01,02,03,04,05,12",HR,gray2
hirs01,ANIC002925,-35.38,149.08,12,12,"01,12",original,NA
hirs02,ANIC002929,-34.58,149.57,12,12,"01,12",original,NA
hirs03,ANIC002943,-33.25,150.67,12,11,"01,12",original,NA
hirs04,ANIC002974,-31.05,151.77,12,12,"01,12",original,NA
hirs05,ANIC002975,-31.05,151.77,12,12,"01,12",original,NA
hirs06,ANIC002976,-31.05,151.77,12,12,"01,12",original,NA
hirs07,ANIC002978,-28.77,151.85,12,11,"01,12",original,NA
hirs08,ANIC002981,-28.77,151.85,12,11,"01,12",original,NA
hirs09,ANIC002982,-30.52,151.65,12,1,"01,12",original,NA
hirs10,ANIC002986,-31.05,151.77,12,12,"01,12",original,NA
hirs11,ANIC003184,-36.98,146.17,12,2,"01,12",original,NA
hirs12,ANIC003186,-36.98,146.17,12,2,"01,12",original,NA
hirs13,ANIC003193,-36.98,146.17,12,2,"01,12",original,NA
hirs14,ANIC003197,-35.48,148.78,12,12,"01,12",original,NA
hirs15,ANIC002916,-30.4,152.35,12,12,"01,12",HR,hirs1
hirs16,ANIC002917,-34.58,149.57,12,12,"01,12",HR,hirs2
lats01,PicXB44110,-18.86,145.91,1,1,"01,08",original,NA
lats02,PicXB44113,-17.03,145.46,1,1,"01,08",original,NA
lats03,PicXB44116,-17.91,145.91,1,5,"01,08",original,NA
lats04,lats04,-17.03,145.46,1,1,"01,08",HR,lats1
lats05,lats05,-17.81,145.59,1,1,"01,08",HR,lats2
macl01,ANIC003232,-23.97,133.17,2,2,"01,02,04,12",original,NA
macl02,ANIC003227,-23.75,133.95,2,2,"01,02,04,12",original,NA
macl03,ANIC003228,-23.75,133.95,2,2,"01,02,04,12",original,NA
macl04,ANIC003229,-23.97,133.17,2,2,"01,02,04,12",original,NA
macl05,ANIC003230,-23.75,133.95,2,2,"01,02,04,12",original,NA
macl06,ANIC003250,-23.02,132.7,2,4,"01,02,04,12",HR,mclm1
macl07,ANIC003251,-23.63,133.87,2,2,"01,02,04,12",HR,mclm2
mcla01,ANIC003299,-26.37,119.82,1,1,"01,",original,NA
mcla02,ANIC003303,-22.78,117.78,1,2,"01,",original,NA
mcla03,ANIC005833,-22.12,133.42,1,12,"01,",HR,mcla1
meli01,ANIC002784,-17.05,145.83,1,1,"01,12",original,NA
meli02,ANIC002785,-17.05,145.83,1,1,"01,12",original,NA
meli03,ANIC002791,-17.05,145.83,1,1,"01,12",original,NA
meli04,ANIC002795,-17.05,145.83,1,1,"01,12",original,NA
meli05,ANIC002796,-18.98,146.15,1,1,"01,12",original,NA
mima01,PicXB65085,-18.59,146.09,12,1,"01,12",original,NA
mima02,PicXB65088,-18.59,146.09,12,1,"01,12",original,NA
mont01,ANIC005349,-27.93,152.93,1,12,"01,02,12",original,NA
mont02,ANIC005261,-35.58,147.37,1,1,"01,02,12",original,NA
mont03,ANIC005307,-34.6,148.57,1,1,"01,02,12",original,NA
mont04,ANIC005279,-34.55,148.3,1,1,"01,02,12",original,NA
mont05,ANIC005389,-34.57,138.85,1,1,"01,02,12",original,NA
mont06,ANIC005266,-36.38,146.28,1,1,"01,02,12",original,NA
mult01,ANIC005406,-26.03,153.05,10,10,"10,12",original,NA
mult02,ANIC005409,-26.65,153.1,10,12,"10,12",original,NA
mult03,ANIC005407,-26.03,153.05,10,10,"10,12",original,NA
narm01,ANIC005476,-31.13,138.57,1,10,"01,02,11",original,NA
narm02,ANIC005478,-31.33,138.62,1,11,"01,02,11",original,NA
narm03,ANIC005479,-31.33,138.6,1,11,"01,02,11",original,NA
narm04,ANIC005462,-32.42,137.98,1,1,"01,02,11",HR,narm1
narm05,ANIC005463,-32.42,137.98,1,1,"01,02,11",HR,narm2
neba01,ANIC005623,-15.95,136.37,4,4,"04,05",original,NA
neba02,ANIC005624,-15.95,136.37,4,4,"04,05",original,NA
nebn01,ANIC005538,-15.1,145.25,4,5,"04,05,07",original,NA
nebn02,ANIC005535,-15.1,145.25,4,5,"04,05,07",original,NA
nebn03,ANIC005585,-23.55,149.65,4,12,"04,05,07",original,NA
neus01,ANIC000073,-17.77,145.58,1,1,"01,12",original,NA
neus02,ANIC000105,-18.98,146.15,1,1,"01,12",original,NA
oliv01,ANIC005962,-30.38,153.03,1,2,"01,02,12",original,NA
oliv02,ANIC005963,-30.38,153.03,1,2,"01,02,12",original,NA
opal01,PicXB13659,-31.9,116,12,12,"12,",original,NA
opal02,PicXB44124,-31.95,115.84,12,12,"12,",original,NA
opal03,opal03,-31.75,116.09,12,12,"12,",HR,opal1
pali01,ANIC008588,-35.3,149.13,12,1,"01,11,12",original,NA
pali02,ANIC008590,-35.27,149.1,12,1,"01,11,12",original,NA
pali03,ANIC008525,-31.52,146.1,12,12,"01,11,12",original,NA
pali04,ANIC008529,-34.58,142.77,12,10,"01,11,12",original,NA
pali05,ANIC008530,-34.58,142.77,12,10,"01,11,12",original,NA
pali06,ANIC008532,-24.87,152.35,12,11,"01,11,12",original,NA
pali07,ANIC008533,-27.32,153,12,1,"01,11,12",original,NA
pali08,ANIC006061,-35.27,149.1,12,1,"01,11,12",HR,pali1
pali09,ANIC006062,-35.27,149.1,12,2,"01,11,12",HR,pali2
pczo01,PicXB44091,-30.36,152.73,1,12,"01,12",original,NA
pczo02,PicXB44094,-30.48,152.66,1,12,"01,12",original,NA
pczo03,PicXB44097,-30.48,152.66,1,12,"01,12",original,NA
pczo05,pczo05,-29.28,152.21,1,12,"01,12",HR,ocul2
pczp01,PicXB64860,-33.28,150.13,1,12,"01,11,12",original,NA
pczp02,PicXB64864,-33.3,150.23,1,2,"01,11,12",original,NA
pczp03,PicXB64868,-34.4,150.04,1,12,"01,11,12",original,NA
pczp04,PicXB64871,-34.4,150.04,1,12,"01,11,12",original,NA
pczp05,pczp05,-33.84,150.41,1,1,"01,11,12",HR,ppsi1
pczp06,pczp06,-33.42,150.31,1,12,"01,11,12",HR,ppsi2
pczv01,PicXB64850,-30.44,153.04,1,12,"01,12",original,NA
pczv02,PicXB64853,-30.23,153.02,1,1,"01,12",original,NA
pczv03,PicXB64857,-30.28,152.99,1,12,"01,12",original,NA
pczv04,pczv04,-31.74,152.56,1,12,"01,12",HR,oliv1
pczv05,pczv05,-30.23,153.02,1,11,"01,12",HR,oliv2
pind01,ANIC008997,-30.52,151.67,1,1,"01,12",original,NA
pind02,ANIC008999,-30.52,151.67,1,1,"01,12",original,NA
pind03,ANIC009000,-30.52,151.67,1,1,"01,12",original,NA
pind04,ANIC008950,-35.27,149.1,1,12,"01,12",original,NA
pind05,ANIC008943,-35.38,149.08,1,12,"01,12",original,NA
pind06,ANIC009007,-35.3,149.13,1,1,"01,12",original,NA
pind07,ANIC008968,-30.52,151.67,1,1,"01,12",original,NA
pind08,ANIC008967,-29.82,151.73,1,1,"01,12",original,NA
pine01,PicXB54424,-11.39,142.27,12,1,"12,",original,NA
poro01,ANIC009078,-35.27,149.1,1,12,"01,02,12",original,NA
poro02,ANIC009079,-35.27,149.1,1,1,"01,02,12",original,NA
poro03,ANIC009346,-29.12,152.17,1,12,"01,02,12",original,NA
poro04,ANIC009349,-27.93,152.93,1,12,"01,02,12",original,NA
poro05,ANIC009358,-28.55,151.83,1,12,"01,02,12",original,NA
poro06,ANIC009359,-26.55,153.08,1,12,"01,02,12",original,NA
poro07,ANIC009360,-26.55,153.08,1,12,"01,02,12",original,NA
poro08,ANIC009240,-35.27,149.1,1,2,"01,02,12",original,NA
poro09,ANIC009241,-35.32,149.1,1,12,"01,02,12",original,NA
poro10,ANIC009243,-37.95,147.12,1,1,"01,02,12",original,NA
poro11,ANIC009244,-35.65,150.13,1,1,"01,02,12",original,NA
poro12,ANIC009247,-37.53,148.23,1,12,"01,02,12",original,NA
poro13,ANIC009639,-30.52,151.65,1,1,"01,02,12",original,NA
poro14,ANIC009641,-30.52,151.65,1,1,"01,02,12",original,NA
poro15,ANIC009644,-17.45,145.3,1,12,"01,02,12",original,NA
poro16,ANIC009199,-16.92,145.77,1,1,"01,02,12",HR,poro1
poro17,ANIC009200,-19.63,147.5,1,1,"01,02,12",HR,poro2
prsi01,ANIC010038,-28.67,153.28,12,11,"01,10,11,12",original,NA
prsi02,ANIC010037,-28.62,153.38,12,11,"01,10,11,12",original,NA
prsi03,ANIC010039,-30.38,152.98,12,11,"01,10,11,12",original,NA
prsi04,ANIC010040,-30.38,152.98,12,11,"01,10,11,12",HR,prsi1
prsi05,ANIC010045,-28.82,153.27,12,10,"01,10,11,12",HR,prsi2
prsi06,ANIC010043,-28.2,153.18,12,12,"01,10,11,12",HR,prsi3
psqz01,PicXB65066,-33.57,151.18,12,3,"12,",original,NA
psqz02,PicXB65069,-33.57,151.18,12,12,"12,",original,NA
psqz03,PicXB65074,-33.57,151.18,12,3,"12,",original,NA
punc01,ANIC010186,-19.08,146.33,1,1,"01,11,12",original,NA
punc02,ANIC010200,-16.8,145.63,1,11,"01,11,12",original,NA
pvul01,ANIC008611,-19.6,146.83,1,12,"01,12",original,NA
pvul02,ANIC008607,-19.63,147.5,1,1,"01,12",original,NA
pvul03,ANIC008742,-21.15,149.18,1,1,"01,12",original,NA
pvul04,ANIC008709,-16.92,145.77,1,1,"01,12",original,NA
pvul05,ANIC008650,-19.6,146.83,1,1,"01,12",HR,pvul1
pvul06,ANIC008651,-19.52,147.1,1,12,"01,12",HR,pvul2
rayn01,PicXB33977,-16.31,145.04,2,11,"01,02,12",original,NA
rayn02,PicXB33994,-16.41,145.2,2,3,"01,02,12",original,NA
rayn03,PicXB34002,-16.41,145.2,2,1,"01,02,12",original,NA
rayn04,rayn04,-28.04,145.41,2,12,"01,02,12",HR,rayn1
rayn05,rayn05,-28.04,145.41,2,12,"01,02,12",HR,rayn2
repa01,PicXB44142,-30.39,152.99,1,11,"01,05,11,12",original,NA
repa02,PicXB44146,-35.27,149.1,1,12,"01,05,11,12",original,NA
repa03,repa03,-26.56,153.08,1,12,"01,05,11,12",HR,rpan1
reps01,PicXB44136,-33.4,151.09,1,11,"01,12",original,NA
reps02,PicXB44139,-32.79,150.92,1,1,"01,12",original,NA
reps03,reps03,-33.55,150.9,1,12,"01,12",HR,rpmm1
rept01,PicXB44127,-35.32,148.95,1,12,"01,02,12",original,NA
rept02,PicXB44130,-35.53,148.84,1,2,"01,02,12",original,NA
rept03,PicXB44133,-35.3,148.89,1,1,"01,02,12",original,NA
rina01,ANIC010272,-30.07,153.2,12,12,"01,11,12",original,NA
rina02,ANIC010273,-30.38,153.03,12,12,"01,11,12",original,NA
rina03,ANIC010275,-28.58,151.8,12,1,"01,11,12",original,NA
rina04,ANIC010276,-28.58,151.8,12,1,"01,11,12",original,NA
roci01,ANIC010586,-18.98,146.15,1,1,"01,02,12",original,NA
roci02,ANIC010614,-19,146.2,1,1,"01,02,12",original,NA
roci03,ANIC010521,-17.48,145.48,1,3,"01,02,12",original,NA
roci04,ANIC010613,-19,146.2,1,1,"01,02,12",original,NA
rose01,PicXB13662,-11.15,132.14,3,2,"03,04",original,NA
rose02,PicXB13665,-16.08,136.06,3,4,"03,04",original,NA
rose03,PicXB13668,-12.44,131.07,3,1,"03,04",original,NA
rose04,PicXB44119,-16.08,136.06,3,4,"03,04",original,NA
rose05,rose05,-11.02,136.75,3,2,"03,04",HR,rose1
rubi01,ANIC010645,-30.38,151.93,12,12,"01,12",original,NA
rubi02,ANIC010646,-30.38,151.93,12,12,"01,12",original,NA
rubi03,ANIC010946,-37.3,146.13,1,12,"01,12",original,NA
rubi04,ANIC010947,-37.3,146.13,1,12,"01,12",original,NA
rubi05,ANIC010951,-35.33,149.33,1,12,"01,12",original,NA
rubi06,ANIC010953,-35.33,149.33,1,12,"01,12",original,NA
rugo01,ANIC010744,-34.05,151.15,12,1,"01,12",original,NA
rugo02,ANIC010749,-35.55,149.95,12,12,"01,12",original,NA
rugo03,ANIC010747,-35.55,149.95,12,12,"01,12",original,NA
saul01,PicXB65077,-37.79,146.93,1,11,"01,02,12",original,NA
saul02,PicXB65082,-41.89,147.64,1,7,"01,02,12",original,NA
smgg01,ANIC010794,-17.58,145.98,1,11,"01,11,12",original,NA
smgg02,ANIC010857,-17.47,146.03,1,11,"01,11,12",original,NA
smgg03,ANIC010862,-17.53,146.02,1,11,"01,11,12",HR,smgd1
smgg04,ANIC010863,-16.92,145.77,1,1,"01,11,12",HR,smgd2
smgp01,ANIC010755,-16.92,145.77,1,1,"01,11,12",original,NA
smgr01,ANIC010756,-16.92,145.77,1,1,"01,11,12",original,NA
sqzb01,PicXB64875,-35.58,150.09,1,1,"01,02,12",original,NA
sqzb02,PicXB64879,-35.58,150.09,1,1,"01,02,12",original,NA
sqzc01,PicXB64883,-28.59,152.5,1,1,"01,12",original,NA
sqzc02,PicXB64886,-27.55,151.99,1,11,"01,12",original,NA
sqzc03,PicXB64889,-28.2,153.19,1,12,"01,12",original,NA
sqzm01,PicXB64894,-16.54,145.35,12,1,"01,12",original,NA
sqzm02,PicXB64898,-16.3,145.16,12,1,"01,12",original,NA
tars01,ANIC011524,-30.38,153.03,1,1,"01,02,11,12",original,NA
tars02,ANIC011518,-30.38,153.03,1,1,"01,02,11,12",original,NA
tars03,ANIC011508,-31.13,149.55,1,11,"01,02,11,12",original,NA
tars04,ANIC011459,-35.38,148.87,1,4,"01,02,11,12",original,NA
tars05,ANIC011535,-30.98,151.58,1,2,"01,02,11,12",HR,tars1
tars06,ANIC011492,-34.97,149.03,1,2,"01,02,11,12",HR,tars2
velu01,ANIC011247,-35.27,149.15,11,11,"10,11,12",original,NA
velu02,ANIC011270,-27.93,152.93,11,12,"10,11,12",original,NA
velu03,ANIC011243,-35.27,149.1,11,11,"10,11,12",original,NA
velu04,ANIC002879,-31.33,138.6,10,11,"10,11,12",original,NA
velu05,ANIC002877,-31.53,138.6,10,11,"10,11,12",original,NA
vrdi02,ANIC011299,-22.87,150.62,12,11,"01,11,12",original,NA
vrdi03,ANIC011292,-33.95,151.23,12,12,"01,11,12",original,NA
xyle01,PicXB64901,-29.54,152.38,10,10,"08,09,10",original,NA
xyle02,PicXB64904,-38.13,145.17,10,10,"08,09,10",original,NA
xyle04,PicXB64910,-30.48,152.66,10,11,"08,09,10",original,NA
xyle05,PicXB64913,-37.74,149.5,10,11,"08,09,10",original,NA
xyle06,PicXB64916,-35.32,148.46,10,11,"08,09,10",original,NA
xyle07,xyle07,-31.45,152.74,10,1,"08,09,10",HR,xyln1
xyle08,xyle08,-30.52,152.38,10,12,"08,09,10",HR,xyln2
xyle09,xyle09,-33.73,151.2,10,1,"08,09,10",HR,xyln3
xyls01,PicXB64919,-35.53,148.77,11,10,"08,09,10",original,NA
xyls02,PicXB64922,-35.58,148.78,11,11,"08,09,10",original,NA
xyls03,PicXB64925,-35.58,148.78,11,11,"08,09,10",original,NA
