Species_name,Code,ANIC Reference,Latitude,Longitude,batch,NameinHR
Anoplognathus hirsutus,hirs05,ANIC002975,-31.05,151.77,ThisManuscript,NA
Anoplognathus hirsutus,hirs06,ANIC002976,-31.05,151.77,ThisManuscript,NA
Anoplognathus hirsutus,hirs07,ANIC002978,-28.77,151.85,ThisManuscript,NA
Anoplognathus hirsutus,hirs08,ANIC002981,-28.77,151.85,ThisManuscript,NA
Anoplognathus hirsutus,hirs09,ANIC002982,-30.52,151.65,ThisManuscript,NA
Anoplognathus hirsutus,hirs10,ANIC002986,-31.05,151.77,ThisManuscript,NA
Anoplognathus hirsutus,hirs11,ANIC003184,-36.98,146.17,ThisManuscript,NA
Anoplognathus hirsutus,hirs12,ANIC003186,-36.98,146.17,ThisManuscript,NA
Anoplognathus hirsutus,hirs13,ANIC003193,-36.98,146.17,ThisManuscript,NA
Anoplognathus hirsutus,hirs14,ANIC003197,-35.48,148.78,ThisManuscript,NA
Anoplognathus hirsutus,hirs15,ANIC002916,-30.4,152.35,PrettyCoolBeetles,hirs1
Anoplognathus hirsutus,hirs16,ANIC002917,-34.58,149.57,PrettyCoolBeetles,hirs2
Anoplostethus laetus,lats01,NA,-18.86,145.91,ThisManuscript,NA
Anoplostethus laetus,lats02,NA,-17.03,145.46,ThisManuscript,NA
Anoplostethus laetus,lats03,NA,-17.91,145.91,ThisManuscript,NA
Anoplostethus laetus,lats04,NA,-17.03,145.46,PrettyCoolBeetles,lats1
Anoplostethus laetus,lats05,NA,-17.81,145.59,PrettyCoolBeetles,lats2
Anoplognathus macleayi,macl01,ANIC003232,-23.97,133.17,ThisManuscript,NA
Anoplognathus macleayi,macl02,ANIC003227,-23.75,133.95,ThisManuscript,NA
Anoplognathus macleayi,macl03,ANIC003228,-23.75,133.95,ThisManuscript,NA
Anoplognathus macleayi,macl04,ANIC003229,-23.97,133.17,ThisManuscript,NA
Anoplognathus macleayi,macl05,ANIC003230,-23.75,133.95,ThisManuscript,NA
Anoplognathus macleayi,macl06,ANIC003250,-23.02,132.7,PrettyCoolBeetles,mclm1
Anoplognathus macleayi,macl07,ANIC003251,-23.63,133.87,PrettyCoolBeetles,mclm2
Anoplognathus macleayi,mcla01,ANIC003299,-26.37,119.82,ThisManuscript,NA
Anoplognathus macleayi,mcla02,ANIC003303,-22.78,117.78,ThisManuscript,NA
Anoplognathus macleayi,mcla03,ANIC005833,-22.12,133.42,PrettyCoolBeetles,mcla1
Anoplognathus daemeli,meli01,ANIC002784,-17.05,145.83,ThisManuscript,NA
Anoplognathus daemeli,meli02,ANIC002785,-17.05,145.83,ThisManuscript,NA
Anoplognathus daemeli,meli03,ANIC002791,-17.05,145.83,ThisManuscript,NA
Anoplognathus daemeli,meli04,ANIC002795,-17.05,145.83,ThisManuscript,NA
Anoplognathus daemeli,meli05,ANIC002796,-18.98,146.15,ThisManuscript,NA
Mimadoretus niveosquamosus,mima01,NA,-18.59,146.09,ThisManuscript,NA
Mimadoretus niveosquamosus,mima02,NA,-18.59,146.09,ThisManuscript,NA
Anoplognathus montanus,mont01,ANIC005349,-27.93,152.93,ThisManuscript,NA
Anoplognathus montanus,mont02,ANIC005261,-35.58,147.37,ThisManuscript,NA
Anoplognathus montanus,mont03,ANIC005307,-34.6,148.57,ThisManuscript,NA
Anoplognathus montanus,mont04,ANIC005279,-34.55,148.3,ThisManuscript,NA
Anoplognathus montanus,mont05,ANIC005389,-34.57,138.85,ThisManuscript,NA
Anoplognathus montanus,mont06,ANIC005266,-36.38,146.28,ThisManuscript,NA
Anoplognathus multiseriatus,mult01,ANIC005406,-26.03,153.05,ThisManuscript,NA
Anoplognathus multiseriatus,mult02,ANIC005409,-26.65,153.1,ThisManuscript,NA
Anoplognathus multiseriatus,mult03,ANIC005407,-26.03,153.05,ThisManuscript,NA
Anoplognathus narmarus,narm01,ANIC005476,-31.13,138.57,ThisManuscript,NA
Anoplognathus narmarus,narm02,ANIC005478,-31.33,138.62,ThisManuscript,NA
Anoplognathus narmarus,narm03,ANIC005479,-31.33,138.6,ThisManuscript,NA
Anoplognathus narmarus,narm04,ANIC005462,-32.42,137.98,PrettyCoolBeetles,narm1
Anoplognathus narmarus,narm05,ANIC005463,-32.42,137.98,PrettyCoolBeetles,narm2
Anoplognathus nebulosus     ,neba01,ANIC005623,-15.95,136.37,ThisManuscript,NA
Anoplognathus nebulosus     ,neba02,ANIC005624,-15.95,136.37,ThisManuscript,NA
Anoplognathus nebulosus     ,nebn01,ANIC005538,-15.1,145.25,ThisManuscript,NA
Anoplognathus nebulosus     ,nebn02,ANIC005535,-15.1,145.25,ThisManuscript,NA
Anoplognathus nebulosus     ,nebn03,ANIC005585,-23.55,149.65,ThisManuscript,NA
